Compound,CAS,smiles,Solvents normalized,Solvent count,Solvent system/raw phrase,Method notes,Extraction confidence,Review flags,Source context,record_id,compound_name_clean,smiles_status,smiles_canonical,inchi_key,largest_fragment_smiles,largest_fragment_inchikey,fragment_count,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_aromatic_rings,rdkit_ring_count,rdkit_fraction_csp3,formal_charge,morgan2_2048_num_onbits,morgan2_2048_onbits,fg_carboxylic_acid,fg_sulfonic_acid,fg_phosphonic_acid,fg_acid_any,fg_phenol,fg_alcohol,fg_amide,fg_urea,fg_imide,fg_ester,fg_anhydride,fg_acyl_halide,fg_aldehyde,fg_ketone,fg_amine_nonamide,fg_basic_aromatic_n,fg_nitro,fg_aromatic_halide,fg_acetal_like,fg_boc_carbamate_like,fg_quinone_like,entry_salt_or_ionic_flag,salt_terms_detected,derivative_terms_detected,primary_recryst_class,secondary_recryst_classes,nearest_neighbor_ready,solvent_list_clean,solvent_count_calc,solvent_families,has_water,has_alcohol,has_hydrocarbon,has_aromatic_hydrocarbon,has_ether,has_ketone_or_ester_solvent,has_halogenated_solvent,has_acidic_solvent,has_polar_aprotic_or_strong_solvent,has_legacy_solvent,legacy_solvents,modernized_solvent_suggestions,solvent_safety_classes,system_type_estimated,likely_pair_families,has_colon_ratio,colon_ratios_detected,has_percent_composition,percent_values_detected,has_aqueous_word,has_hot_or_reflux_word,has_charcoal_or_carbon,has_wash_word,has_additive_or_few_drops_word,has_acid_additive_hint,has_base_additive_hint,compatibility_warning_candidates,class_default_single_panel,class_default_pair_panel,recommendation_use_weight
Benzyl mercaptan,100-53-8,SCc1ccccc1,benzene; water,2,"*benzene as needles (m 121o), and; H2O.",,High,benzene legacy,"Purify benzyl mercaptan via the mercury salt [see Kern J Am Chem Soc 75 1865 1953, DOI: 10.1021/ja01104a025], which crystallises from *benzene as needles (m 121o), and then dissolve it in CHCl3. | Crystallise it from H2O.",RC02501,Benzyl mercaptan,valid,SCc1ccccc1,UENWRTRMUIOCKN-UHFFFAOYSA-N,SCc1ccccc1,UENWRTRMUIOCKN-UHFFFAOYSA-N,1,124.208,2.116,0.00,1,1,1,1,1,0.143,0,14,32 80 229 389 703 818 1066 1088 1199 1380 1459 1750 1754 1873,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,salt,,salt_or_ionic,,Y,benzene; water,2,aromatic hydrocarbon; water/aqueous,Y,N,Y,Y,N,N,N,N,N,Y,benzene,toluene; toluene/heptane; water,benzene:red_legacy,aqueous_or_water_containing_system,,N,,N,,N,N,N,N,N,Y,N,legacy_toxic_solvent_replace,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
Benzyltriphenylphosphonium chloride,1100-88-5,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,ethanol,1,EtOH (six-sided plates).,,High,,Wash it with Et2O and crystallise it from EtOH (six-sided plates).,RC02502,Benzyltriphenylphosphonium chloride,valid,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,BNQRPLGZFADFGA-UHFFFAOYSA-N,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,BNQRPLGZFADFGA-UHFFFAOYSA-N,1,353.425,5.181,0.00,0,0,5,4,4,0.040,1,18,1 79 80 389 985 1066 1069 1088 1199 1293 1363 1380 1750 1754 1838 1873 1877 1942,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,chloride,,salt_or_ionic,difficult_high_lattice_candidate; high_logp; multi_aromatic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,Y,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
S-Benzylisothiuronium chloride,538-28-3,C1=CC=C(C=C1)CSC(=N)N.Cl,ethanol; water; hydrochloric acid,3,"EtOH, or a mixture of equal volumes of concentrated HCl and H2O.; 0.2M HCl (2ml/g) or EtOH and it dry in air.; EtOH.",cooling,High,,"On cooling, the chloride salt forms a crystalline magma which is filtered off and recrystallised from EtOH, or a mixture of equal volumes of concentrated HCl and H2O. | Crystallise the chloride from 0.2M HCl (2ml/g) or EtOH and it dry in air. | On cooling, the desired S-benzylthiuronium salt crystallises out of solution in a highly pure state. It can be recrystallised from EtOH. | It can be recrystallised from EtOH.",RC02503,S-Benzylisothiuronium chloride,valid,Cl.N=C(N)SCc1ccccc1,WJAASTDRAAMYNK-UHFFFAOYSA-N,N=C(N)SCc1ccccc1,GTRLQRHWPXEBLF-UHFFFAOYSA-N,2,202.710,2.235,49.87,2,2,2,1,1,0.125,0,22,80 116 140 389 623 653 762 807 1066 1088 1104 1168 1171 1199 1344 1380 1538 1750 1754 1798 1873 1966,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; salt,,salt_or_ionic,basic,Y,ethanol; water; hydrochloric acid,3,acidic/protic; alcohol; water/aqueous,Y,Y,N,N,N,N,N,Y,N,N,,ethanol; water; hydrochloric acid,hydrochloric acid:orange_acidic,aqueous_or_water_containing_system,alcohol/water,N,,N,,N,N,N,N,N,Y,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"2,4-Bis(methylthio)-1,3,2��5,4��5-dithiadiphosphetane-2,4-dithione (Davy's reagent methyl)",82737-61-9,CSP1(=S)SP(=S)(S1)SC,benzene,1,*C6H6 in yellow plates or from hot trichlorobenzene.,hot,High,benzene legacy,It crystallises from *C6H6 in yellow plates or from hot trichlorobenzene.,RC02504,"2,4-Bis(methylthio)-1,3,2��5,4��5-dithiadiphosphetane-2,4-dithione (Davy's reagent methyl)",valid,CSP1(=S)SP(=S)(SC)S1,OIEQWZXDRGOGHA-UHFFFAOYSA-N,CSP1(=S)SP(=S)(SC)S1,OIEQWZXDRGOGHA-UHFFFAOYSA-N,1,284.420,4.641,0.00,0,6,2,0,1,1.000,0,13,97 115 116 181 394 671 675 700 810 856 922 1057 1753,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,polar_hbond_neutral,high_logp,Y,benzene,1,aromatic hydrocarbon,N,N,Y,Y,N,N,N,N,N,Y,benzene,toluene; toluene/heptane,benzene:red_legacy,single_or_single_reported,,N,,N,,N,Y,N,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol; water; ethanol/water 90:10; methanol/water 90:10; acetone; ethyl acetate; acetonitrile,ethanol/water; methanol/water; ethanol/diethyl ether; acetone/water; ethyl acetate/heptane,1.0
Bis-(4-fluoro-3-nitrophenyl) sulfone,312-30-1,C1=CC(=C(C=C1S(=O)(=O)C2=CC(=C(C=C2)F)[N+](=O)[O-])[N+](=O)[O-])F,water; acetone,2,Me2CO and H2O (5:1).,,High,,Recrystallise the sulfone from Me2CO and H2O (5:1).,RC02505,Bis-(4-fluoro-3-nitrophenyl) sulfone,valid,O=[N+]([O-])c1cc(S(=O)(=O)c2ccc(F)c([N+](=O)[O-])c2)ccc1F,KHAWDEWNXJIVCJ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(S(=O)(=O)c2ccc(F)c([N+](=O)[O-])c2)ccc1F,KHAWDEWNXJIVCJ-UHFFFAOYSA-N,1,344.251,2.614,120.42,0,6,4,2,2,0.000,0,25,216 319 350 354 650 699 715 716 753 835 838 875 1014 1195 1212 1357 1380 1476 1571 1703 1750 1840 1873 1928 1963,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,polar_hbond_neutral,aryl_halide; high_tpsa; multi_aromatic; nitro,Y,water; acetone,2,ketone/ester; water/aqueous,Y,N,N,N,N,Y,N,N,N,N,,water; acetone,,aqueous_or_water_containing_system,acetone/water,Y,5:1,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; methanol/water 90:10; acetone; ethyl acetate; acetonitrile,ethanol/water; methanol/water; ethanol/diethyl ether; acetone/water; ethyl acetate/heptane,1.0
Bis-(phenylsulfonyl)imide (dibenzenedisulfimide),2618-96-4,O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,water; diethyl ether,2,"H2O in needles, and; Et2O.",,High,,"Acetone was distilled off, and diphenylsulfinimide sodium salt separated [~90% yield, m 327-329o (also 314-316o reported); and was recrystallised from H2O in needles, and dried at 100o]. | The free imide is obtained on acidification, extraction into Et2O, and finally crystallised as white crystals from Et2O.",RC02506,Bis-(phenylsulfonyl)imide (dibenzenedisulfimide),valid,O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,OVQABVAKPIYHIG-UHFFFAOYSA-N,O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,OVQABVAKPIYHIG-UHFFFAOYSA-N,1,297.357,1.354,80.31,1,4,4,2,2,0.000,0,17,232 319 350 389 454 502 575 650 883 1088 1152 1199 1380 1476 1750 1873 1924,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,salt; sodium,,salt_or_ionic,basic; multi_aromatic,Y,water; diethyl ether,2,ether; water/aqueous,Y,N,N,N,Y,N,N,N,N,N,,water; diethyl ether,,aqueous_or_water_containing_system,,N,,Y,90%,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
Bis-(2-nitrophenyl) disulfide,1155-00-6,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],benzene; acetic acid,2,glacial AcOH or from *C6H6 and the yellow needles are,,High,benzene legacy,Purify the disulfide by recrystallisation from glacial AcOH or from *C6H6 and the yellow needles are dried in an oven at 100o until the odour of the solvent is absent.,RC02507,Bis-(2-nitrophenyl) disulfide,valid,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],NXCKJENHTITELM-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],NXCKJENHTITELM-UHFFFAOYSA-N,1,308.340,4.302,86.28,0,6,5,2,2,0.000,0,21,116 164 354 377 612 650 715 716 753 838 1025 1088 1195 1197 1199 1311 1380 1417 1750 1873 1963,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,moderate_aromatic_neutral,high_logp; multi_aromatic; nitro,Y,benzene; acetic acid,2,acidic/protic; aromatic hydrocarbon,N,N,Y,Y,N,N,N,Y,N,Y,benzene,toluene; toluene/heptane; acetic acid,benzene:red_legacy; acetic acid:yellow_acidic,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol; acetone; ethyl acetate; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; methanol/water; toluene/heptane,1.0
"Bismuthiol I (2,5-dimercapto-1,3,4-thiadiazole) potassium salt",4628-94-8,[S-]c1nnc([S-])s1,ethanol,1,EtOH (yellow needles).,,High,,Purify it by recrystallisation from EtOH (yellow needles).,RC02508,"Bismuthiol I (2,5-dimercapto-1,3,4-thiadiazole) potassium salt",valid,[S-]c1nnc([S-])s1,BIGYLAKFCGVRAN-UHFFFAOYSA-L,[S-]c1nnc([S-])s1,BIGYLAKFCGVRAN-UHFFFAOYSA-L,1,148.237,0.350,25.78,0,5,0,1,1,0.000,-2,11,34 162 340 378 675 705 943 1164 1352 1380 1403,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,potassium; salt,,salt_or_ionic,basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"has m 150-155o, [��] +6.6 (c 2, pyridine); and the L-proline tert-butyl ester dibenzenesulfimide salt",83283-35-6,CC(C)(C)OC(=O)C1CCCN1.O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,water; benzene,2,"H2O, which on drying at 100o, have m 298o (also 297-300o, >360o, dec).; H2O (m 207-208o) or from *C6H6 (m 206-207o).",,High,review name; benzene legacy,"Bis-(4-chlorobenzenesulfonyl)imide sodium salt crystallises as white needles from H2O, which on drying at 100o, have m 298o (also 297-300o, >360o, dec). | The free imide is obtained on acidification, and crystallises from H2O (m 207-208o) or from *C6H6 (m 206-207o). [Runge et al.",RC02509,"has m 150-155o, [��] +6.6 (c 2, pyridine); and the L-proline tert-butyl ester dibenzenesulfimide salt",valid,CC(C)(C)OC(=O)C1CCCN1.O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,QWCDJOBXFKHRJN-UHFFFAOYSA-N,O=S(=O)(NS(=O)(=O)c1ccccc1)c1ccccc1,OVQABVAKPIYHIG-UHFFFAOYSA-N,2,468.597,2.434,118.64,2,7,5,2,3,0.381,0,42,114 231 232 293 305 319 350 362 389 392 454 502 534 575 650 695 742 807 883 926 1014 1019 1028 1057 1088 1114 1152 1199 1325 1380 1476 1507 1574 1643 1736 1750 1859 1873 1880 1912 1917 1924,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,salt; sodium,,salt_or_ionic,basic; ester; high_tpsa; multi_aromatic,Y,water; benzene,2,aromatic hydrocarbon; water/aqueous,Y,N,Y,Y,N,N,N,N,N,Y,benzene,water; toluene; toluene/heptane,benzene:red_legacy,aqueous_or_water_containing_system,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
gent p-tolyl),114234-09-2,Cc1ccc(SP2(=S)SP(=S)(Sc3ccc(C)cc3)S2)cc1,diethyl ether; toluene,2,"toluene (light yellow solid), wash it with Et2O",vacuo,High,,"Recrystallise it from toluene (light yellow solid), wash it with Et2O and dry in vacuo.",RC02510,gent p-tolyl),valid,Cc1ccc(SP2(=S)SP(=S)(Sc3ccc(C)cc3)S2)cc1,WMYQGZHFMUDZIS-UHFFFAOYSA-N,Cc1ccc(SP2(=S)SP(=S)(Sc3ccc(C)cc3)S2)cc1,WMYQGZHFMUDZIS-UHFFFAOYSA-N,1,436.616,8.117,0.00,0,6,4,2,3,0.143,0,22,97 115 116 152 235 671 675 700 735 810 811 922 1057 1103 1255 1380 1722 1750 1823 1873 1895 1920,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,lipophilic_aromatic_neutral,high_logp; multi_aromatic,Y,diethyl ether; toluene,2,aromatic hydrocarbon; ether,N,N,Y,Y,Y,N,N,N,N,N,,diethyl ether; toluene,,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,Y,N,N,N,,toluene; toluene/heptane; ethyl acetate/heptane; acetone/heptane; heptane; cyclohexane; xylene if high-melting; anisole fallback,toluene/heptane; toluene/cyclohexane; ethyl acetate/heptane; acetone/heptane,1.0
4-Bromobenzenesulfonyl chloride,98-58-8,O=S(=O)(Cl)c1ccc(Br)cc1,petroleum ether; ethanol; water,3,"petroleum ether, or from ethyl ether cooled in powdered Dry-ice; light petroleum (e.g; aqueous EtOH provides pure 4- bromobenzenesulfonamide",boiling; aqueous; cooling; vacuo,High,,"Wash the sulfonyl chloride with cold water, dry and recrystallise it from petroleum ether, or from ethyl ether cooled in powdered Dry-ice after the ether solution had been washed with and Te Compounds �C 562 10% NaOH until colourless, then dry it with anhydrous Na2SO4. | Alternatively, dissolve it in CHCl3, wash it with H2O, dry (Na2SO4), evaporate and recrystallise it from light petroleum (e.g. b 60-80o) or dry Et2O. [Huntress & Carten J Am Chem Soc 62 511 1940, DOI: 10.1021/ja01860a014.] Test for the SO2Cl group by dissolving it in EtOH and boiling with NH4CNS whereby a yellow amorphous precipitate forms on cooling. [Beilstein 11 IV 162.] On boiling the sulfonyl chloride (e.g. | 10ml), collecting and washing throroughly with H2O, then drying it in vacuo followed by recrystallisation from aqueous EtOH provides pure 4- bromobenzenesulfonamide",RC02511,4-Bromobenzenesulfonyl chloride,valid,O=S(=O)(Cl)c1ccc(Br)cc1,KMMHZIBWCXYAAH-UHFFFAOYSA-N,O=S(=O)(Cl)c1ccc(Br)cc1,KMMHZIBWCXYAAH-UHFFFAOYSA-N,1,255.520,2.377,34.14,0,2,1,1,1,0.000,0,18,137 170 319 350 378 650 715 728 909 1157 1380 1476 1631 1649 1683 1735 1750 1873,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,chloride,,salt_or_ionic,aryl_halide,Y,petroleum ether; ethanol; water,3,alcohol; aliphatic hydrocarbon; water/aqueous,Y,Y,Y,N,N,N,N,N,N,Y,petroleum ether,heptane; cyclohexane; ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,Y,10%,Y,Y,N,Y,N,Y,Y,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
The more stable bis(tert-butyldimethylsilyl) telluride,80594-86-1,CC(C)(C)[Si](C)(C)[Te][Si](C)(C)C(C)(C)C,pentane; tetrahydrofuran,2,"tetrahydrofuran (solubility at room temperature is 9.5%, 0.78M), filter off the solid under N2, wash it with dry pentane",vacuo,High,review name,"The solid is relatively stable and can be purified by distillation in a vacuum (as dimer) and by recrystallisation from tetrahydrofuran (solubility at room temperature is 9.5%, 0.78M), filter off the solid under N2, wash it with dry pentane and dry it in vacuo at ca 100o.",RC02512,The more stable bis(tert-butyldimethylsilyl) telluride,valid,CC(C)(C)[Si](C)(C)[Te][Si](C)(C)C(C)(C)C,CAVAEBYVTLUQIF-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)[Te][Si](C)(C)C(C)(C)C,CAVAEBYVTLUQIF-UHFFFAOYSA-N,1,358.144,4.701,0.00,0,0,2,0,0,1.000,0,12,114 378 392 465 656 715 870 1057 1087 1768 1871 1918,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,neutral_other,high_logp,Y,pentane; tetrahydrofuran,2,aliphatic hydrocarbon; ether,N,N,Y,N,Y,N,N,N,N,N,,pentane; tetrahydrofuran,,multiple_alternative_solvents_or_unparsed_mixture,,N,,Y,9.5%,N,N,N,Y,N,N,N,,ethanol; methanol; isopropanol; acetone; ethyl acetate; water or ethanol/water 90:10; toluene; heptane/cyclohexane,ethanol/water; methanol/water; ethyl acetate/heptane; acetone/heptane; toluene/heptane,1.0
,115-39-9,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,acetone; benzene; acetic acid,3,*C6H6 or Me2CO/AcOH,,High,benzene legacy,"Crystallise the dye from *C6H6 or Me2CO/AcOH, and dry it in air.",RC02513,,valid,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,UDSAIICHUKSCKT-UHFFFAOYSA-N,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,UDSAIICHUKSCKT-UHFFFAOYSA-N,1,669.967,6.159,83.83,2,5,2,3,4,0.053,0,34,165 202 207 399 469 556 563 650 656 706 728 807 833 875 1060 1088 1199 1346 1380 1428 1460 1496 1528 1589 1602 1623 1628 1631 1665 1750 1873 1948 1980 1992,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,phenol_alcohol,aryl_halide; difficult_high_lattice_candidate; high_logp; multi_aromatic; phenol,Y,acetone; benzene; acetic acid,3,acidic/protic; aromatic hydrocarbon; ketone/ester,N,N,Y,Y,N,Y,N,Y,N,Y,benzene,acetone; toluene; toluene/heptane; acetic acid,benzene:red_legacy; acetic acid:yellow_acidic,explicit_mixed_or_pair_system,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
(+)-3-Bromocamphor-10-sulfonic acid hydrate,67999-30-8,CC1([C@@H]2CC[C@]1(C(=O)[C@H]2Br)CS(=O)(=O)O)C,water,1,water.,,High,,"Crystallise the acid from water. [For ��Methods of optical resolution�� see Boyle Quart Rev Chem Soc 25 323 1971, DOI: 10.1039/QR9712500323; UV: Lowry & Owen J Chem Soc 606 1926, DOI: 10.1039/JR9262900606; Beilstein 11 II 181, 11 III 592.] Bromocresol Green (3',3"",5',5""-tetrabromo-m-cresolsulfonephthalein)",RC02514,(+)-3-Bromocamphor-10-sulfonic acid hydrate,valid,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)[C@H]2Br,XUJHKPSBHDQIOD-MATHAZKKSA-N,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)[C@H]2Br,XUJHKPSBHDQIOD-MATHAZKKSA-N,1,311.197,1.643,71.44,1,3,2,0,2,0.900,0,33,80 85 123 196 314 350 519 529 592 621 625 650 697 728 764 807 926 949 981 1019 1057 1060 1097 1162 1188 1274 1325 1327 1380 1476 1477 1805 1819,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,hydrate,acidic_neutral,acidic,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
(+)-3-Bromocamphor-8-sulfonic acid,5344-58-1,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,water,1,water.,,High,,Crystallise the acid from water.,RC02515,(+)-3-Bromocamphor-8-sulfonic acid,valid,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,MFEDKMBNKNOUPA-UHFFFAOYSA-N,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,MFEDKMBNKNOUPA-UHFFFAOYSA-N,1,311.197,1.643,71.44,1,3,2,0,2,0.900,0,33,71 80 123 180 196 237 314 350 418 455 519 529 592 621 650 697 728 807 926 1019 1042 1057 1060 1097 1162 1188 1274 1325 1380 1476 1477 1714 1801,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
"1R(endo, anti)-3-Bromocamphor-8-sulfonic acid ammonium salt","55870-50-3, 14575-84-9",CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,water,1,water and is,,High,,"The salt is crystallised from water and is dried over CaCl2 in a desiccator [Craddock & Jones J Am Chem Soc 84 1098 1962, DOI: 10.1021/ja00866a006; Kauffmann J Prakt Chem 33 295 1966, DOI: 10.1002/prac.19660330512]. [Beilstein 11 H 319, 11 I 77, 11, II 183, 11 III 595.] (+)-3-Bromocamphor-10-sulfonic acid hydrate",RC02516,"1R(endo, anti)-3-Bromocamphor-8-sulfonic acid ammonium salt",valid,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,MFEDKMBNKNOUPA-UHFFFAOYSA-N,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,MFEDKMBNKNOUPA-UHFFFAOYSA-N,1,311.197,1.643,71.44,1,3,2,0,2,0.900,0,33,71 80 123 180 196 237 314 350 418 455 519 529 592 621 650 697 728 807 926 1019 1042 1057 1060 1097 1162 1188 1274 1325 1380 1476 1477 1714 1801,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,ammonium; salt,hydrate,salt_or_ionic,acidic,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"Bromocresol Green (3',3"",5',5""-tetrabromo-m-cresolsulfonephthalein)",76-60-8,CC1=C(C(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C(=C4C)Br)O)Br)Br)O)Br,water; acetic acid; hydrochloric acid,3,glacial acetic acid or dissolve it in aqueous 5% NaHCO3 solution and precipitate it from the hot solution by dropwise addition of aqueous HCl.,hot; aqueous,High,,Crystallise the dye from glacial acetic acid or dissolve it in aqueous 5% NaHCO3 solution and precipitate it from the hot solution by dropwise addition of aqueous HCl.,RC02517,"Bromocresol Green (3',3"",5',5""-tetrabromo-m-cresolsulfonephthalein)",valid,Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,FRPHFZCDPYBUAU-UHFFFAOYSA-N,Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,FRPHFZCDPYBUAU-UHFFFAOYSA-N,1,698.021,6.775,83.83,2,5,2,3,4,0.143,0,39,165 185 202 207 235 252 399 435 469 650 656 706 728 807 833 875 1057 1060 1088 1199 1338 1346 1380 1428 1458 1460 1496 1528 1530 1602 1628 1631 1665 1722 1750 1873 1920 1948 1980,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,phenol_alcohol,aryl_halide; difficult_high_lattice_candidate; high_logp; multi_aromatic; phenol,Y,water; acetic acid; hydrochloric acid,3,acidic/protic; water/aqueous,Y,N,N,N,N,N,N,Y,N,N,,water; acetic acid; hydrochloric acid,acetic acid:yellow_acidic; hydrochloric acid:orange_acidic,aqueous_or_water_containing_system,acidic_aqueous,N,,Y,5%,Y,Y,N,N,Y,Y,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
