No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
103,Eschenmoser–Tanabe fragmentation,Eschenmoser–Tanabe fragmentation,214,No,,Reaction,Rearrangement / fragmentation,"Fragmentation of α,β-epoxyketones via the intermediacy of α,β-epoxy sulfonylhydrazones.",CC(=O)C1CO1>>C#C.CC=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 214",
104,Eschweiler–Clarke reductive alkylation of amines,Eschweiler–Clarke reductive alkylation of amines,216,No,,Reaction,Functional-group interconversion / method,Reductive methylation of a primary or secondary amine using formaldehyde and formic acid.,CN.C=O.O=CO>>CNC,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 216",
105,Evans aldol reaction,Evans aldol reaction,218,No,,Reaction,C–C bond formation / condensation / multicomponent,Diastereoselective aldol addition of a chiral N-acyl oxazolidinone enolate to an aldehyde using the Evans auxiliary.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 218",
106,Favorskii rearrangement and quasi-Favorskii rearrangement,Favorskii rearrangement and quasi-Favorskii rearrangement,220,No,,Reaction,Rearrangement / fragmentation,"Base-promoted rearrangement of an α-haloketone to a carboxylic acid derivative, usually through a cyclopropanone; non-enolizable substrates undergo the quasi-Favorskii variant.",O=C1C(Cl)CCCC1>>O=C(O)C1CCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 220",
107,Feist–Bénary furan synthesis,Feist–Bénary furan synthesis,222,No,,Reaction,Heterocycle synthesis,α-Haloketones react with β-ketoesters in the presence of base to fashion furans.,CC(=O)CBr.CCOC(=O)CC(C)=O>>CCOC(=O)c1oc(C)cc1C,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 222",
108,Ferrier carbocyclization,Ferrier carbocyclization,224,No,,Reaction,Carbohydrate / glycosylation,"Ferrier II conversion of a 5,6-unsaturated hexopyranose derivative into a stereodefined, functionalized cyclohexanone.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 224",
109,Ferrier glycal allylic rearrangement,Ferrier glycal allylic rearrangement,227,No,,Reaction,Carbohydrate / glycosylation,"Lewis-acid-promoted substitution of an activated glycal by O-, S-, C-, or other nucleophiles to form a 2,3-unsaturated glycoside.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 227",
110,Fiesselmann thiophene synthesis,Fiesselmann thiophene synthesis,230,No,,Reaction,Heterocycle synthesis,"Base-promoted condensation of a thioglycolate derivative with an α,β-acetylenic ester to form a 3-hydroxythiophene-2-carboxylate.",COC(=O)CS.COC(=O)C#CC(=O)OC>>COC(=O)c1sc(C(=O)OC)c(O)c1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 230",
111,Fischer indole synthesis,Fischer indole synthesis,233,No,,Reaction,Heterocycle synthesis,Cyclization of arylhydrazones to indoles.,CC(=NNc1ccccc1)c1ccccc1>>c1ccc2[nH]c(-c3ccccc3)cc2c1,Representative; RDKit-parsable,RXNO:0000064,Fischer indole synthesis,Reaction of an aldehyde or ketone with a phenylhydrazine to give an indole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 233",https://purl.obolibrary.org/obo/RXNO_0000064
112,Fischer oxazole synthesis,Fischer oxazole synthesis,235,No,,Reaction,Heterocycle synthesis,Oxazoles from the condensation of equimolar amounts of aldehyde cyanohydrins and aromatic aldehydes in dry ether in the presence of dry hydrochloric acid.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 235",
113,Fleming–Tamao oxidation,Fleming–Tamao (Tamao–Fleming) oxidation,237,No,,Reaction,Oxidation / alkene functionalization,"Stereospecific oxidation of a carbon–silicon bond to a carbon–oxygen bond, converting an alkylsilane into an alcohol.",C[Si](C)(C)Cc1ccccc1>>OCc1ccccc1,Representative; RDKit-parsable,RXNO:0000210,Fleming-Tamao oxidation,"The stereospecific oxidation of a (phenyldimethylsilyl)alkane to the corresponding alcohol using bromine, usually generated in situ from potassium bromide and peracetic acid.","The TOC says Fleming–Tamao oxidation, while the body heading reads Fleming–Kumada oxidation; modern usage commonly includes Tamao–Fleming oxidation. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 237",https://purl.obolibrary.org/obo/RXNO_0000210
114,Tamao–Kumada oxidation,Tamao–Kumada oxidation,239,Yes,Fleming–Tamao oxidation,Reaction,Cross-coupling / organometallic coupling,Oxidation of alkyl fluorosilanes to the corresponding alcohols. A variant of the Fleming–Kumada oxidation.,F[Si](F)(Cc1ccccc1)F>>OCc1ccccc1,Representative; RDKit-parsable,RXNO:0000211,Tamao oxidation,The stereospecific oxidation of a (halosilyl)alkane to the corresponding alcohol using potassium fluoride and hydrogen peroxide.,"Listed as a subentry under Fleming–Tamao oxidation. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 239",https://purl.obolibrary.org/obo/RXNO_0000211
115,Friedel–Crafts reaction,Friedel–Crafts reaction,240,No,,Reaction,Aromatic substitution / diazonium chemistry,Lewis-acid-promoted alkylation or acylation of an aromatic ring with an alkylating or acylating electrophile.,c1ccccc1.CC(=O)Cl>>CC(=O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000369,Friedel-Crafts reaction,A carbon-carbon coupling reaction between an arene and a carbonyl compound (an acylation) or an alkyl compound that can form a carbocation (an alkylation) to form a substituted arene.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 240",https://purl.obolibrary.org/obo/RXNO_0000369
116,Friedländer quinoline synthesis,Friedländer quinoline synthesis,243,No,,Reaction,Heterocycle synthesis,Condensation of an o-aminoaryl aldehyde or ketone with an enolizable carbonyl compound to form a substituted quinoline.,Nc1ccccc1C=O.CC(C)=O>>Cc1nc2ccccc2cc1,Representative; RDKit-parsable,RXNO:0000577,Friedlander quinoline synthesis,Synthesis of a quinoline by reaction of a 2-aminobenzaldehyde with a ketone.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 243",https://purl.obolibrary.org/obo/RXNO_0000577
117,Fries rearrangement,Fries rearrangement,245,No,,Reaction,Rearrangement / fragmentation,Lewis acid-catalyzed rearrangement of phenol esters and lactams to 2- or 4-ketophenols. Also known as the Fries–Finck rearrangement.,CC(=O)Oc1ccccc1>>CC(=O)c1ccccc1O,Representative; RDKit-parsable,RXNO:0000444,Fries rearrangement,Rearrangement of the acyl group in a phenolate ester to the ortho- and/or para-position. It is catalysed by a Lewis acid.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 245",https://purl.obolibrary.org/obo/RXNO_0000444
118,Fukuyama amine synthesis,Fukuyama amine synthesis,247,No,,Reaction,Functional-group interconversion / method,"Transformation of a primary amine to a secondary amine using 2,4-dinitrobenzenesulfonyl chloride and an alcohol.",Nc1ccccc1.CCO>>CCNc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 247",
119,Fukuyama reduction,Fukuyama reduction,249,No,,Reaction,Reduction,Aldehyde synthesis through reduction of thiol esters with Et3SiH in the presence of Pd/C catalyst.,CCSC(=O)c1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000680,Fukuyama reduction,The reduction of a thioester to an aldehyde by a silyl hydride in the presence of catalytic amounts of palladium.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 249",https://purl.obolibrary.org/obo/RXNO_0000680
120,Gabriel synthesis,Gabriel synthesis,251,No,,Reaction,Functional-group interconversion / method,Synthesis of primary amines using potassium phthalimide and alkyl halides.,CCBr>>CCN,Representative; RDKit-parsable,RXNO:0000103,Gabriel synthesis,"The reaction of primary alkyl halides with sodium or potassium phthalimide, followed by hydrolysis, to give the corresponding primary amine.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 251",https://purl.obolibrary.org/obo/RXNO_0000103
121,Ing–Manske procedure,Ing–Manske modification of the Gabriel synthesis,253,Yes,Gabriel synthesis,Reaction,Functional-group interconversion / method,Gabriel-synthesis variant in which hydrazine cleaves an N-alkyl phthalimide to release the primary amine.,CCN1C(=O)c2ccccc2C1=O>>CCN,Representative; RDKit-parsable,RXNO:0000104,Ing-Manske procedure,"The reaction of primary alkyl halides with sodium or potassium phthalimide, followed by treatment with hydrazine, to give the corresponding primary amine.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 253",https://purl.obolibrary.org/obo/RXNO_0000104
122,Gabriel–Colman rearrangement,Gabriel–Colman rearrangement,255,No,,Reaction,Rearrangement / fragmentation,"Reaction of the enolate of a maleimidyl acetate to provide isoquinoline 1,4-diol.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 255",
123,Gassman indole synthesis,Gassman indole synthesis,257,No,,Reaction,Heterocycle synthesis,"One-pot conversion of an aniline, a hypohalite, and an α-carbonyl sulfide into a 3-thioalkoxyindole, with optional sulfur removal.",Nc1ccccc1.CSC(C)=O>>Cc1[nH]c2ccccc2c1SC,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 257",
124,Gattermann–Koch reaction,Gattermann–Koch reaction,259,No,,Reaction,Aromatic substitution / diazonium chemistry,Formylation of arenes using carbon monoxide and hydrogen chloride in the presence of aluminum chloride under high pressure.,c1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 259",
125,Gewald aminothiophene synthesis,Gewald aminothiophene synthesis,261,No,,Reaction,Heterocycle synthesis,"Base-promoted aminothiophene formation from ketone, α-active methylene nitrile and elemental sulfur.",CC(C)=O.CCOC(=O)CC#N.S>>CCOC(=O)c1c(N)sc(C)c1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 261",
126,Glaser coupling,Glaser coupling,263,No,,Reaction,Cross-coupling / organometallic coupling,Oxidative homo-coupling of terminal alkynes using copper catalyst in the presence of oxygen.,C#Cc1ccccc1.C#Cc1ccccc1>>c1ccccc1C#CC#Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000098,Glaser coupling,A coupling reaction between two molecules of a terminal alkyne catalysed by Cu(I) salts.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 263",https://purl.obolibrary.org/obo/RXNO_0000098
127,Eglinton coupling,Eglinton coupling,265,Yes,Glaser coupling,Reaction,Cross-coupling / organometallic coupling,Oxidative homo-coupling of terminal alkynes mediated by stoichiometric (or often excess) Cu(OAc)2.,C#Cc1ccccc1.C#Cc1ccccc1>>c1ccccc1C#CC#Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000099,Eglinton reaction,A coupling reaction between two molecules of a terminal alkyne using stoichiometric Cu(II) salts.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 265",https://purl.obolibrary.org/obo/RXNO_0000099
128,Gomberg–Bachmann reaction,Gomberg–Bachmann reaction,267,No,,Reaction,Radical / photochemical,Base-promoted radical coupling between an aryl diazonium salt and an arene to form a diaryl compound.,N#[N+]c1ccccc1.c1ccccc1>>c1ccc(-c2ccccc2)cc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 267",
129,Gould–Jacobs reaction,Gould–Jacobs reaction,269,No,,Reaction,Heterocycle synthesis,"Condensation of an aniline with an alkoxymethylenemalonate, followed by thermal cyclization and hydrolysis/decarboxylation to form a 4-hydroxyquinoline.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 269",
130,Grignard reaction,Grignard reaction,271,No,,Reaction,C–C bond formation / condensation / multicomponent,"Addition of organomagnesium compounds (Grignard reagents), generated from organohalides and magnesium metal, to electrophiles.",C[Mg]Br.O=Cc1ccccc1>>CC(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000014,Grignard reaction,"A carbon-carbon coupling reaction where a Grignard reagent reacts with a compound containing an electrophilic carbon atom. A Grignard reagent is a magnesium-stabilised carbon nucleophile. An aldehyde leads to a secondary alcohol, a ketone leads to a tertiary alcohol, an ester leads to a ketone and a nitrile leads to a ketone.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 271",https://purl.obolibrary.org/obo/RXNO_0000014
131,Grob fragmentation,Grob fragmentation,273,No,,Reaction,Rearrangement / fragmentation,Fragmentation of a five-atom chain in which carbon–carbon bond cleavage is coupled to formation of a multiple bond and departure of a leaving group.,CC(O)CC(O)C>>CC=O.CC=C,Representative; RDKit-parsable,RXNO:0000111,Grob fragmentation,"The fragmentation of a molecule that takes place when an electron-donating fragment (X) and an electron-accepting fragment (X') are situated at positions 1 and 3 on an aliphatic chain, to give a cationic fragment, a neutral fragment (e.g. an alkene) and an anionic fragment.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 273",https://purl.obolibrary.org/obo/RXNO_0000111
132,Guareschi–Thorpe condensation,Guareschi–Thorpe condensation,275,No,,Reaction,Heterocycle synthesis,2-Pyridone formation from the condensation of cyanoacetic ester with diketone in the presence of ammonia.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 275",
133,Hajos–Wiechert reaction,Hajos–Wiechert reaction,277,No,,Reaction,Cycloaddition / annulation / ring formation,Proline-catalyzed asymmetric intramolecular aldol/Robinson annulation that forms an enantioenriched bicyclic enone.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 277",
134,Haller–Bauer reaction,Haller–Bauer reaction,279,No,,Reaction,Functional-group interconversion / method,Base-induced cleavage of non-enolizable ketones leading to carboxylic amide derivative and a neutral fragment in which the carbonyl group is replaced by a hydrogen.,O=C(c1ccccc1)c1ccccc1>>NC(=O)c1ccccc1.c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 279",
135,Hantzsch dihydropyridine synthesis,Hantzsch dihydropyridine synthesis,281,No,,Reaction,Heterocycle synthesis,"Dihydropyridine from the condensation of aldehyde, β-ketoester and ammonia.",CCOC(=O)CC(C)=O.CCOC(=O)CC(C)=O.C=O.N>>CCOC(=O)C1=C(C)NC(C)=C1C(=O)OCC,Representative; RDKit-parsable,RXNO:0000268,Hantzsch pyridine synthesis,"A ring-forming reaction between two equivalents of a beta-ketoester, an aldehyde and ammonia (or an ammonium salt), to give a dihydropyridine. The dihydropyridine can be oxidised to a pyridine using an oxidising agent.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 281",https://purl.obolibrary.org/obo/RXNO_0000268
136,Hantzsch pyrrole synthesis,Hantzsch pyrrole synthesis,283,No,,Reaction,Heterocycle synthesis,Reaction of α-chloromethyl ketones with β-ketoesters and ammonia to assemble pyrroles.,CC(=O)CCl.CCOC(=O)CC(C)=O.N>>CCOC(=O)c1c(C)[nH]c(C)c1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 283",
137,Heck reaction,Heck reaction,285,No,,Reaction,Cross-coupling / organometallic coupling,Palladium-catalyzed coupling between organohalides or triflates with olefins.,Ic1ccccc1.C=CC(=O)OC>>COC(=O)/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000024,Heck reaction,"A carbon-carbon coupling reaction where an organohalide or triflate couples to a terminal olefin to produce an internal olefin, catalysed by palladium. It is stereospecific.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 285",https://purl.obolibrary.org/obo/RXNO_0000024
138,Heteroaryl Heck reaction,Heteroaryl Heck reaction,287,Yes,Heck reaction,Reaction,Functional-group interconversion / method,Heck-type palladium-catalyzed alkenylation in which a heteroaryl halide or a heteroarene-derived substrate participates in the coupling.,Brc1ccccn1.C=CC(=O)OC>>COC(=O)/C=C/c1ccccn1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 287",
139,Hegedus indole synthesis,Hegedus indole synthesis,289,No,,Reaction,Heterocycle synthesis,Palladium(II)-mediated oxidative cyclization of an o-alkenylaniline to form an indole.,C=Cc1ccccc1N>>c1ccc2[nH]ccc2c1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 289",
140,Hell–Volhard–Zelinsky reaction,Hell–Volhard–Zelinsky reaction,291,No,,Reaction,Functional-group interconversion / method,α-Bromination of carboxylic acids using Br2/PBr3.,CCC(=O)O>>CC(Br)C(=O)O,Representative; RDKit-parsable,RXNO:0000621,Hell-Volhard-Zelinsky reaction,An alpha-halogenation reaction where a carboxylic acid reacts with dibromine to form an alpha-bromocarboxylic acid.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 291",https://purl.obolibrary.org/obo/RXNO_0000621
141,Henry nitroaldol reaction,Henry nitroaldol reaction,293,No,,Reaction,C–C bond formation / condensation / multicomponent,"The nitroaldol condensation reaction involving aldehydes and nitronates, derived from deprotonation of nitroalkanes by bases.",C[N+](=O)[O-].O=Cc1ccccc1>>OC(C[N+](=O)[O-])c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 293",
142,Hinsberg synthesis of thiophene derivatives,Hinsberg synthesis of thiophene derivatives,295,No,,Reaction,Heterocycle synthesis,"Condensation of diethyl thiodiglycolate and α-diketones under basic conditions, which provides 3,4-disubstituted thiophene-2,5-dicarboxylic acids upon hydrolysis of the crude ester product with aqueous acid.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 295",
143,Hiyama cross-coupling reaction,Hiyama cross-coupling reaction,297,No,,Reaction,Cross-coupling / organometallic coupling,"Palladium-catalyzed cross-coupling reaction of organosilicons with organic halides, triflates, etc.",CO[Si](OC)(OC)c1ccccc1.Brc1ccccc1>>c1ccc(-c2ccccc2)cc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 297",
144,Hiyama–Denmark cross-coupling reaction,Hiyama–Denmark cross-coupling reaction,299,Yes,Hiyama cross-coupling reaction,Reaction,Cross-coupling / organometallic coupling,Palladium-catalyzed cross-coupling of an organosilanol or silanolate with an organic halide or pseudohalide.,O[Si](O)(O)c1ccccc1.Brc1ccccc1>>c1ccc(-c2ccccc2)cc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 299",
145,Hofmann rearrangement,Hofmann rearrangement,302,No,,Reaction,Rearrangement / fragmentation,"Upon treatment of primary amides with hypohalites, primary amines with one less carbon are obtained via the intermediacy of isocyanate.",CC(N)=O>>CN,Representative; RDKit-parsable,RXNO:0000410,Hofmann rearrangement,Rearrangement of a primary carboxylic amide to an isocyanate.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 302",https://purl.obolibrary.org/obo/RXNO_0000410
146,Hofmann–Löffler–Freytag reaction,Hofmann–Löffler–Freytag reaction,304,No,,Reaction,Radical / photochemical,Formation of pyrrolidines or piperidines by thermal or photochemical decomposition of protonated N-haloamines.,CCCCN(C)Cl>>CN1CCCC1,Representative; RDKit-parsable,RXNO:0000618,Hofmann-Löffler-Freytag reaction,An azacycle synthesis in which pyrrolidines or piperidines are formed by decomposition of protonated N-haloamines.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 304",https://purl.obolibrary.org/obo/RXNO_0000618
147,Horner–Wadsworth–Emmons reaction,Horner–Wadsworth–Emmons reaction,306,No,,Reaction,Functional-group interconversion / method,"Base-promoted olefination of an aldehyde or ketone with a phosphonate carbanion, commonly favoring an E-alkene.",O=Cc1ccccc1.CCOP(=O)(OCC)CC(=O)OCC>>CCOC(=O)/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000056,Horner-Wadsworth-Emmons reaction,A carbon-carbon coupling reaction between a phosphonate and a carbonyl compound to give an olefin.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 306",https://purl.obolibrary.org/obo/RXNO_0000056
148,Houben–Hoesch synthesis,Houben–Hoesch reaction,308,No,,Reaction,Aromatic substitution / diazonium chemistry,Acid-catalyzed acylation of phenols as well as phenolic ethers using nitriles.,Oc1cccc(O)c1.CC#N>>CC(=O)c1c(O)cccc1O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 308",
149,Hunsdiecker–Borodin reaction,Hunsdiecker–Borodin reaction,310,No,,Reaction,Functional-group interconversion / method,Conversion of silver carboxylate to halide by treatment with halogen.,CCC(=O)O>>CCBr,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 310",
150,"Hurd–Mori 1,2,3-thiadiazole synthesis","Hurd–Mori 1,2,3-thiadiazole synthesis",312,No,,Reaction,Heterocycle synthesis,"Reaction of thionyl chloride with the N-acylated or tosyl hydrazone derivatives to provide the 1,2,3-thiadiazole in one step.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 312",
151,Jacobsen–Katsuki epoxidation,Jacobsen–Katsuki epoxidation,314,No,,Reaction,Oxidation / alkene functionalization,Manganese-catalyzed asymmetric epoxidation of (Z)-olefins.,C=Cc1ccccc1>>O1C[C@H]1c1ccccc1,Representative; RDKit-parsable,RXNO:0000686,Jacobsen epoxidation,"Chiral (salen)manganese(III)-catalyzed asymmetric epoxidation of alkenes. In addition to the catalyst, stoichiometric amounts of an oxidant (e.g. sodium hypochlorite) are required.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 314",https://purl.obolibrary.org/obo/RXNO_0000686
152,Japp–Klingemann hydrazone synthesis,Japp–Klingemann hydrazone synthesis,316,No,,Reaction,Functional-group interconversion / method,Coupling of an aryl diazonium salt with an enolate of a β-ketoester or related carbonyl compound to form an arylhydrazone.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 316",
153,Jones oxidation,Jones oxidation,318,No,,Reaction,Oxidation / alkene functionalization,Chromium(VI)-mediated oxidation of primary alcohols to carboxylic acids and secondary alcohols to ketones in acidic aqueous medium.,CCCCO>>CCCC(=O)O,Representative; RDKit-parsable,RXNO:0000356,Jones oxidation,An oxidation reaction where an alcohol is oxidized to the corresponding carbonyl compound by a dichromate ion.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 318",https://purl.obolibrary.org/obo/RXNO_0000356
154,Julia–Kocienski olefination,Julia–Kocienski olefination,321,No,,Reaction,Olefination / elimination,"Modified Julia olefination in which a heteroaryl sulfone reacts with an aldehyde or ketone and fragments in situ, often giving an E-alkene.",O=Cc1ccccc1.c1ccccc1CS(=O)(=O)c1ncccc1>>c1ccccc1/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000304,Julia-Kocienski olefination,A carbon-carbon coupling reaction between a tetrazole sulfone and an aldehyde or ketone to give a (typically trans) alkene.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 321",https://purl.obolibrary.org/obo/RXNO_0000304
155,Julia–Lythgoe olefination,Julia–Lythgoe olefination,323,No,,Reaction,Olefination / elimination,(E)-Olefins from sulfones and aldehydes.,O=Cc1ccccc1.O=S(=O)(Cc1ccccc1)c1ccccc1>>c1ccccc1/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000117,Julia olefination,A carbon-carbon coupling reaction between a phenyl sulfone and an aldehyde or ketone to give a (typically trans) alkene.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 323",https://purl.obolibrary.org/obo/RXNO_0000117
156,Kahne–Crich glycosidation,Kahne–Crich glycosidation,325,No,,Reaction,Carbohydrate / glycosylation,"Stereoselective activation of an anomeric glycosyl sulfoxide donor, followed by reaction with an alcohol acceptor to form a glycoside.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 325",
157,Keck macrolactonization,Keck macrolactonization,327,No,,Reaction,Functional-group interconversion / method,DCC/DMAP-promoted macrolactonization of an ω-hydroxy carboxylic acid.,O=C(O)CCCCCO>>O=C1OCCCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 327",
