notation,expected,detected_ids,detected_names,smiles
Acetic acid,Benzoxazole,amide_coupling|esterification|oxidation_alcohol,Amide Coupling|Esterification|Alcohol Oxidation,c1ccc(c(N)c1)O.CC(=O)O>>Cc1nc2ccccc2o1
,Benzothiazole,reductive_amination,Reductive Amination,c1ccc(c(N)c1)S.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3s2)cc1
,Imidazole,,,CC(=O)C=O.NC=O.N>>Cc1nccn1C
Aniline,Boc Protection,claisen_condensation,Claisen Condensation,c1ccc(N)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)Nc1ccccc1
Phenethylamine,Boc Protection,claisen_condensation,Claisen Condensation,NCCc1ccccc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)NCCc1ccccc1
TFA or HCl,Boc Deprotection,,,CC(C)(C)OC(=O)Nc1ccccc1.[HCl]>>c1ccc(N)cc1
Aniline,Cbz Protection,claisen_condensation,Claisen Condensation,c1ccc(N)cc1.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(Nc1ccccc1)OCc1ccccc1
Glycine,Cbz Protection,amide_coupling|claisen_condensation,Amide Coupling|Claisen Condensation,NCC(=O)O.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(NCC(=O)O)OCc1ccccc1
Hydrogenolysis,Cbz Deprotection,,,O=C(Nc1ccccc1)OCc1ccccc1.[H][H].[Pd]>>c1ccc(N)cc1
,FMOC Protection,claisen_condensation,Claisen Condensation,c1ccc(N)cc1.O=C1OC(=O)c2ccccc21>>O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
Base,FMOC Deprotection,,,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21.[Base]>>c1ccc(N)cc1
Benzyl alcohol,TBS Protection,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCc1ccccc1
Diol,TBS Protection,,,OCCO.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCCO[Si](C)(C)C(C)(C)C
TBAF,TBS Deprotection,,,CC(C)(C)[Si](C)(C)OCc1ccccc1.[F-]>>c1ccc(CO)cc1
,PMB Protection,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.BrCc1ccc(OC)cc1>>COc1ccc(COCc2ccccc2)cc1
DDQ,PMB Deprotection,,,COc1ccc(COCc2ccccc2)cc1.[DDQ]>>c1ccc(CO)cc1
Glycerol,Acetonide Protection,,,OCC(O)CO.CC(=O)C>>CC1(C)OCC(CO)O1
Acid,Acetonide Deprotection,,,CC1(C)OCC(CO)O1.[H+]>>OCC(O)CO
,Bn Protection,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.BrCc1ccccc1>>c1ccc(COCc2ccccc2)cc1
Hydrogenolysis,Bn Deprotection,,,c1ccc(COCc2ccccc2)cc1.[H][H].[Pd]>>c1ccc(CO)cc1
,Trityl Protection,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
,Trityl Deprotection,,,c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.[H+]>>c1ccc(CO)cc1
,Amide: Benzoic acid + aniline,amide_coupling,Amide Coupling,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
,Amide: Acetic acid + benzylamine,amide_coupling,Amide Coupling,CC(=O)O.NCc1ccccc1>>CC(=O)NCc1ccccc1
,Amide: Phenylacetic acid + cyclohexylamine,amide_coupling,Amide Coupling,O=C(O)CCc1ccccc1.NC1CCCCC1>>O=C(N1CCCCC1)CCc1ccccc1
,Amide: Pivalic acid + p-toluidine,amide_coupling,Amide Coupling,CC(C)(C)C(=O)O.Nc1ccc(C)cc1>>CC(C)(C)C(=O)Nc1ccc(C)cc1
,Amide: 4-Fluorobenzoic acid + phenethylamine,amide_coupling,Amide Coupling,O=C(O)c1ccc(F)cc1.NCCc1ccccc1>>O=C(NCCc1ccccc1)c1ccc(F)cc1
,Amide: p-Methoxybenzoic acid + cyclopropylamine,amide_coupling,Amide Coupling,O=C(O)c1ccc(OC)cc1.NC1CC1>>COc1ccc(C(=O)NC2CC2)cc1
,Amide: 4-Cyanobenzoic acid + butylamine,amide_coupling,Amide Coupling,O=C(O)c1ccc(C#N)cc1.NCCCC>>N#Cc1ccc(C(=O)NCCCC)cc1
,Amide: 4-Nitrobenzoic acid + tert-butylamine,amide_coupling|reduction_nitro,Amide Coupling|Nitro Reduction,O=C(O)c1ccc([N+](=O)[O-])cc1.NC(C)(C)C>>CC(C)(C)NC(=O)c1ccc([N+](=O)[O-])cc1
,Amide: 3-Chlorobenzoic acid + 4-picolylamine,amide_coupling|buchwald_hartwig,Amide Coupling|Buchwald-Hartwig,O=C(O)c1cccc(Cl)c1.NCc1ccncc1>>O=C(NCc1ccncc1)c1cccc(Cl)c1
,Amide: 2-Naphthoic acid + 4-aminopiperidine,amide_coupling,Amide Coupling,O=C(O)c1ccc2ccccc2c1.NC1CCNCC1>>O=C(N1CCC(N)CC1)c1ccc2ccccc2c1
,Amide: Isonicotinic acid + aniline,amide_coupling,Amide Coupling,O=C(O)c1ccncc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccncc1
,Amide: Pyrimidine-2-carboxylic acid + 4-fluorobenzylamine,amide_coupling,Amide Coupling,O=C(O)c1cnccn1.NCc1ccc(F)cc1>>O=C(NCc1ccc(F)cc1)c1cnccn1
,Amide: Thiophene-3-carboxylic acid + morpholine,amide_coupling,Amide Coupling,O=C(O)c1cccs1.NC1CCOCC1>>O=C(N1CCOCC1)c1cccs1
,Amide: Pyrrole-3-carboxylic acid + 2-phenoxyethylamine,amide_coupling,Amide Coupling,O=C(O)c1cc[nH]c1.NCCOc1ccccc1>>O=C(NCCOc1ccccc1)c1cc[nH]c1
,"Amide: Pyrrole-2-carboxylic acid + 4,4-dimethylcyclohexylamine",amide_coupling,Amide Coupling,O=C(O)c1ccc[nH]1.NC1CCC(C)(C)CC1>>O=C(NC1CCC(C)(C)CC1)c1ccc[nH]1
,Amide: Octanoic acid + p-anisidine,amide_coupling,Amide Coupling,CCCCCCCC(=O)O.Nc1ccc(OC)cc1>>CCCCCCCC(=O)Nc1ccc(OC)cc1
,Amide: Isovaleric acid + 4-chlorobenzylamine,amide_coupling|buchwald_hartwig,Amide Coupling|Buchwald-Hartwig,CC(C)CC(=O)O.NCc1ccc(Cl)cc1>>CC(C)CC(=O)NCc1ccc(Cl)cc1
,Amide: 2-Methylbutyric acid + N-methylpiperazine,amide_coupling,Amide Coupling,CCC(C)C(=O)O.NC1CCN(C)CC1>>CCC(C)C(=O)N1CCN(C)CC1
,Amide: Cyclohexanecarboxylic acid + tryptamine,amide_coupling,Amide Coupling,O=C(O)C1CCCCC1.NCCc1ccc[nH]1>>O=C(NCCc1ccc[nH]1)C1CCCCC1
,Amide: Leucine + benzylamine,amide_coupling,Amide Coupling,CC(C)CC(N)C(=O)O.NCc1ccccc1>>CC(C)CC(N)C(=O)NCc1ccccc1
,Amide: Phenylalanine + cyclohexylamine,amide_coupling,Amide Coupling,N[C@@H](Cc1ccccc1)C(=O)O.NC1CCCCC1>>N[C@@H](Cc1ccccc1)C(=O)N1CCCCC1
,"Amide: Benzoic acid + N,N-dimethylaniline → tertiary amide",,,O=C(O)c1ccccc1.CN(C)c1ccccc1>>CN(C)c1ccccc1.O=C(N(C)c1ccccc1)c1ccccc1
,Amide: Acetic acid + pyrrolidine,amide_coupling,Amide Coupling,CC(=O)O.N1CCCC1>>CC(=O)N1CCCC1
,Amide: 4-Bromobenzoic acid + morpholine,amide_coupling|buchwald_hartwig,Amide Coupling|Buchwald-Hartwig,O=C(O)c1ccc(Br)cc1.N1CCOCC1>>O=C(N1CCOCC1)c1ccc(Br)cc1
,Amide: EDC/HOBt coupling,amide_coupling,Amide Coupling,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
,Amide: DCC/NHS coupling,amide_coupling,Amide Coupling,CC(C)(C)C(=O)O.NCc1ccccc1>>CC(C)(C)C(=O)NCc1ccccc1
,Amide: HATU/DIPEA coupling,amide_coupling,Amide Coupling,O=C(O)c1ccc(OC)cc1.NC1CCCCC1>>COc1ccc(C(=O)N1CCCCC1)cc1
