example,expected,detected_ids,detected_names,smiles
,Amide: Pyrimidine-2-carboxylic acid + 4-fluorobenzylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1cnccn1.NCc1ccc(F)cc1>>O=C(NCc1ccc(F)cc1)c1cnccn1
,Amide: Thiophene-3-carboxylic acid + morpholine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1cccs1.NC1CCOCC1>>O=C(N1CCOCC1)c1cccs1
,Amide: Pyrrole-3-carboxylic acid + 2-phenoxyethylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1cc[nH]c1.NCCOc1ccccc1>>O=C(NCCOc1ccccc1)c1cc[nH]c1
,"Amide: Pyrrole-2-carboxylic acid + 4,4-dimethylcyclohexylamine",amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc[nH]1.NC1CCC(C)(C)CC1>>O=C(NC1CCC(C)(C)CC1)c1ccc[nH]1
,Amide: Octanoic acid + p-anisidine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,CCCCCCCC(=O)O.Nc1ccc(OC)cc1>>CCCCCCCC(=O)Nc1ccc(OC)cc1
,Amide: Isovaleric acid + 4-chlorobenzylamine,amide_coupling|buchwald_hartwig|halogenation_aromatic,Amide Coupling|Buchwald-Hartwig|Aromatic Halogenation,CC(C)CC(=O)O.NCc1ccc(Cl)cc1>>CC(C)CC(=O)NCc1ccc(Cl)cc1
,Amide: 2-Methylbutyric acid + N-methylpiperazine,amide_coupling,Amide Coupling,CCC(C)C(=O)O.NC1CCN(C)CC1>>CCC(C)C(=O)N1CCN(C)CC1
,Amide: Cyclohexanecarboxylic acid + tryptamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)C1CCCCC1.NCCc1ccc[nH]1>>O=C(NCCc1ccc[nH]1)C1CCCCC1
,Amide: Leucine + benzylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,CC(C)CC(N)C(=O)O.NCc1ccccc1>>CC(C)CC(N)C(=O)NCc1ccccc1
,Amide: Phenylalanine + cyclohexylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,N[C@@H](Cc1ccccc1)C(=O)O.NC1CCCCC1>>N[C@@H](Cc1ccccc1)C(=O)N1CCCCC1
,"Amide: Benzoic acid + N,N-dimethylaniline â?tertiary amide",halogenation_aromatic,Aromatic Halogenation,O=C(O)c1ccccc1.CN(C)c1ccccc1>>CN(C)c1ccccc1.O=C(N(C)c1ccccc1)c1ccccc1
,Amide: Acetic acid + pyrrolidine,amide_coupling,Amide Coupling,CC(=O)O.N1CCCC1>>CC(=O)N1CCCC1
,Amide: 4-Bromobenzoic acid + morpholine,amide_coupling|buchwald_hartwig|halogenation_aromatic,Amide Coupling|Buchwald-Hartwig|Aromatic Halogenation,O=C(O)c1ccc(Br)cc1.N1CCOCC1>>O=C(N1CCOCC1)c1ccc(Br)cc1
,Amide: EDC/HOBt coupling,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
,Amide: DCC/NHS coupling,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,CC(C)(C)C(=O)O.NCc1ccccc1>>CC(C)(C)C(=O)NCc1ccccc1
,Amide: HATU/DIPEA coupling,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc(OC)cc1.NC1CCCCC1>>COc1ccc(C(=O)N1CCCCC1)cc1
Bromoethane â?propionitrile,SN2 substitution,,,CCBr.[C-]#N>>CCC#N
tert-Butyl chloride â?tert-butanol,SN1 substitution,,,CC(C)(C)Cl.O>>CC(C)(C)O
2-bromobutane â?but-2-ene,E2 elimination,,,CCC(Br)C.CC(C)(C)[O-]>>CC=CC
Styrene â?ethylbenzene,Hydrogenation,epoxidation|ring_closing_metathesis|halogenation_aromatic,Epoxidation|Ring-Closing Metathesis|Aromatic Halogenation,C=CC1=CC=CC=C1>>CCc1ccccc1
1-hexene â?1-hexanol,Hydroboration-oxidation,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,CCCCCC=C>>CCCCCCO
Cyclohexene â?cyclohexene oxide,Epoxidation,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C1=CCCCC1>>O1CCCCC1
"Cyclohexene â?cis-1,2-diol",Dihydroxylation,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C1=CCCCC1>>OC1CCCCC1O
Acetone + formaldehyde,Aldol addition,,,CC(=O)C.C=O>>CC(=O)CCO
Acetone self-condensation,Aldol condensation,,,CC(=O)C.CC(=O)C>>CC(=O)C=C(C)C
Benzaldehyde + MeMgBr,Grignard addition,halogenation_aromatic,Aromatic Halogenation,O=CC1=CC=CC=C1.C[Mg]Br>>CC(O)c1ccccc1
Cyclohexanone + methylamine,Reductive amination,reductive_amination,Reductive Amination,O=C1CCCCC1.CNC>>CNC1CCCCC1
Benzaldehyde + aniline,Imine formation,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=CC1=CC=CC=C1.Nc1ccccc1>>c1ccc(/C=N\c2ccccc2)cc1
Benzaldehyde â?styrene,Wittig,halogenation_aromatic,Aromatic Halogenation,O=CC1=CC=CC=C1.C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>C=CC1=CC=CC=C1
Benzaldehyde â?cinnamate,HWE olefination,epoxidation|halogenation_aromatic,Epoxidation|Aromatic Halogenation,O=CC1=CC=CC=C1.CCOP(=O)(OCC)C=C(C(=O)OCC)[O-]>>CCOC(=O)C=CC1=CC=CC=C1
Benzene + tert-butyl chloride,FriedelâCrafts alkylation,halogenation_aromatic,Aromatic Halogenation,c1ccccc1.CC(C)(C)Cl>>CC(C)(C)c1ccccc1
Benzene + acetyl chloride,FriedelâCrafts acylation,halogenation_aromatic,Aromatic Halogenation,c1ccccc1.CC(=O)Cl>>CC(=O)c1ccccc1
Benzene â?nitrobenzene,Electrophilic nitration,halogenation_aromatic,Aromatic Halogenation,c1ccccc1>>O=[N+]([O-])c1ccccc1
Benzene â?bromobenzene,Electrophilic bromination,halogenation_aromatic,Aromatic Halogenation,c1ccccc1>>Brc1ccccc1
Bromobenzene + ethene â?styrene,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1ccccc1.C=C>>C=CC1=CC=CC=C1
Bromobenzene + acetylene â?phenylacetylene,Sonogashira,halogenation_aromatic,Aromatic Halogenation,Brc1ccccc1.C#C>>C#Cc1ccccc1
Bromobenzene + morpholine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.O1CCNCC1>>c1ccc(N2CCOCC2)cc1
Bromobenzene + phenylboronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1
Bromobenzene + ethylzinc bromide,Negishi,negishi|halogenation_aromatic,Negishi|Aromatic Halogenation,Brc1ccccc1.CC[Zn]Br>>CCc1ccccc1
Bromobenzene + ethylmagnesium bromide,Kumada,kumada|halogenation_aromatic,Kumada|Aromatic Halogenation,Brc1ccccc1.CC[Mg]Br>>CCc1ccccc1
Bromobenzene + vinylstannane,Stille,heck|stille|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Stille|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1ccccc1.C=C[Sn](C)(C)C>>C=CC1=CC=CC=C1
Phenylboronic acid + aniline,ChanâLam,chan_lam_cn|halogenation_aromatic|oxidation_alcohol,Chan-Lam C-N|Aromatic Halogenation|Alcohol Oxidation,Nc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(Nc2ccccc2)cc1
Iodobenzene + aniline,Ullmann CâN,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Ic1ccccc1.Nc1ccccc1>>c1ccc(Nc2ccccc2)cc1
Cyclopentadiene + maleic anhydride,DielsâAlder,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C1=CC=CC1.C1(=O)OC(=O)C=CC1=O>>O=C1OC(=O)C2C=CC1C2
Diallyl ether â?dihydropyran,Ring-closing metathesis,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCOCC=C>>C1=CCOCC1
1-butanol â?butanal,Swern oxidation,,,CCCCO>>CCCC=O
Acetophenone â?1-phenylethanol,NaBH4 reduction,halogenation_aromatic,Aromatic Halogenation,CC(=O)c1ccccc1>>CC(O)c1ccccc1
Ethyl benzoate â?benzyl alcohol,LiAlH4 reduction,halogenation_aromatic,Aromatic Halogenation,CCOC(=O)c1ccccc1>>OCCc1ccccc1
Styrene â?benzaldehyde + formaldehyde,Ozonolysis,epoxidation|ring_closing_metathesis|halogenation_aromatic,Epoxidation|Ring-Closing Metathesis|Aromatic Halogenation,C=CC1=CC=CC=C1>>O=CC1=CC=CC=C1.C=O
