reaction_type,example,rxn_smiles
SN1 substitution,tert-Butyl chloride tert-butanol,CC(C)(C)Cl.O>>CC(C)(C)O
E2 elimination,2-bromobutane but-2-ene,CCC(Br)C.CC(C)(C)[O-]>>CC=CC
Hydrogenation,Styrene ethylbenzene,C=CC1=CC=CC=C1>>CCc1ccccc1
Hydroboration-oxidation,1-hexene 1-hexanol,CCCCCC=C>>CCCCCCO
Epoxidation,Cyclohexene cyclohexene oxide,C1=CCCCC1>>O1CCCCC1
Dihydroxylation,"Cyclohexene cis-1,2-diol",C1=CCCCC1>>OC1CCCCC1O
Aldol addition,Acetone + formaldehyde,CC(=O)C.C=O>>CC(=O)CCO
Aldol condensation,Acetone self-condensation,CC(=O)C.CC(=O)C>>CC(=O)C=C(C)C
Grignard addition,Benzaldehyde + MeMgBr,O=CC1=CC=CC=C1.C[Mg]Br>>CC(O)c1ccccc1
Reductive amination,Cyclohexanone + methylamine,O=C1CCCCC1.CNC>>CNC1CCCCC1
Imine formation,Benzaldehyde + aniline,O=CC1=CC=CC=C1.Nc1ccccc1>>c1ccc(/C=N\c2ccccc2)cc1
Wittig,Benzaldehyde styrene,O=CC1=CC=CC=C1.C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>C=CC1=CC=CC=C1
HWE olefination,Benzaldehyde cinnamate,O=CC1=CC=CC=C1.CCOP(=O)(OCC)C=C(C(=O)OCC)[O-]>>CCOC(=O)C=CC1=CC=CC=C1
FriedelCrafts alkylation,Benzene + tert-butyl chloride,c1ccccc1.CC(C)(C)Cl>>CC(C)(C)c1ccccc1
FriedelCrafts acylation,Benzene + acetyl chloride,c1ccccc1.CC(=O)Cl>>CC(=O)c1ccccc1
Electrophilic nitration,Benzene nitrobenzene,c1ccccc1>>O=[N+]([O-])c1ccccc1
Electrophilic bromination,Benzene bromobenzene,c1ccccc1>>Brc1ccccc1
Heck,Bromobenzene + ethene styrene,Brc1ccccc1.C=C>>C=CC1=CC=CC=C1
Sonogashira,Bromobenzene + acetylene phenylacetylene,Brc1ccccc1.C#C>>C#Cc1ccccc1
Buchwald-Hartwig amination,Bromobenzene + morpholine,Brc1ccccc1.O1CCNCC1>>c1ccc(N2CCOCC2)cc1
Suzuki,Bromobenzene + phenylboronic acid,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1
Negishi,Bromobenzene + ethylzinc bromide,Brc1ccccc1.CC[Zn]Br>>CCc1ccccc1
Kumada,Bromobenzene + ethylmagnesium bromide,Brc1ccccc1.CC[Mg]Br>>CCc1ccccc1
Stille,Bromobenzene + vinylstannane,Brc1ccccc1.C=C[Sn](C)(C)C>>C=CC1=CC=CC=C1
ChanLam,Phenylboronic acid + aniline,Nc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(Nc2ccccc2)cc1
Ullmann CN,Iodobenzene + aniline,Ic1ccccc1.Nc1ccccc1>>c1ccc(Nc2ccccc2)cc1
DielsAlder,Cyclopentadiene + maleic anhydride,C1=CC=CC1.C1(=O)OC(=O)C=CC1=O>>O=C1OC(=O)C2C=CC1C2
Ring-closing metathesis,Diallyl ether dihydropyran,C=CCOCC=C>>C1=CCOCC1
Swern oxidation,1-butanol butanal,CCCCO>>CCCC=O
NaBH4 reduction,Acetophenone 1-phenylethanol,CC(=O)c1ccccc1>>CC(O)c1ccccc1
LiAlH4 reduction,Ethyl benzoate benzyl alcohol,CCOC(=O)c1ccccc1>>OCCc1ccccc1
Ozonolysis,Styrene benzaldehyde + formaldehyde,C=CC1=CC=CC=C1>>O=CC1=CC=CC=C1.C=O
minisci_alkylation,,c1ccc2cnccc2c1.CC(C)CC(=O)C(=O)O>>CC(C)CC(=O)c1ncc(Br)c2ccccc12
minisci_alkylation,,CC(=O)Oc1ccc(C)cc1.CC(C)C(=O)O.N#Cc1ccncc1>>CC(C)c1cc(C#N)ccn1.CC(=O)Oc1ccc(CF)cc1
minisci_alkylation,,O=Cc1ccccc1.c1ccc(-c2cncc3ccccc23)cc1>>O=C(c1ccccc1)c1ncc(-c2ccccc2)c2ccccc12
minisci_alkylation,,Cc1ccccc1C=O.c1ccc(-c2cncc3ccccc23)cc1>>Cc1ccccc1C(=O)c1ncc(-c2ccccc2)c2ccccc12
minisci_alkylation,,c1ccc2cnccc2c1.CC(C)CC=O>>CC(C)CC(=O)c1nccc2ccccc12
minisci_alkylation,,CCC(=O)O.Cc1ccc2cc(Cl)ccc2n1>>CCc1cc(C)nc2ccc(Cl)cc12
minisci_alkylation,,CC(=O)O.Cc1ccc2ccccc2n1>>Cc1cc(C)c2ccccc2n1
minisci_alkylation,,CC(=O)O.Cc1ccc2cccc([N+](=O)[O-])c2n1>>Cc1cc(C)c2cccc([N+](=O)[O-])c2n1
minisci_alkylation,,CC(=O)O.Cc1ccc2cc(C(F)(F)F)ccc2n1>>Cc1cc(C)c2cc(C(F)(F)F)ccc2n1
minisci_alkylation,,CCC(=O)O.Cc1ccc2cc(F)ccc2n1>>CCc1cc(C)nc2ccc(F)cc12
minisci_alkylation,,CC(=O)O.Cc1ccc2cc(F)ccc2n1>>Cc1cc(C)c2cc(F)ccc2n1
minisci_alkylation,,O=C(O)CCc1ccccc1.Cc1ccc2cc(F)ccc2n1>>Cc1cc(CCc2ccccc2)c2cc(F)ccc2n1
Azo reduction,Azobenzene hydrogenation,c1ccc([N:1]=[N:2]c2ccccc2)cc1>>[NH2:1]c1ccccc1.[NH2:2]c1ccccc1
Disulfide reduction,Dimethyl disulfide cleavage,C[S:1][S:2]C>>C[SH:1].C[SH:2]
Peroxide reduction,Dimethyl peroxide cleavage,C[O:1][O:2]C>>C[OH:1].C[OH:2]
