name,smiles,motif_count,motifs,alt_motifs,error
4-Vinylbiphenyl,C=Cc1ccc(-c2ccccc2)cc1,2,Ar-C=CH2 / Ar-Ar,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C,
2-Chloro-N-methylaniline,CNc1ccccc1Cl,3,Ar-NHR / Ar-Cl / CH3-NHR,Ar-X / Alkyl-NHR,
3-Bromo-2-methylpropene,C=C(C)CBr,2,Alkyl-C=C / RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
2-bromo-5-methylbenzaldehyde,Cc1ccc(Br)c(C=O)c1,3,Ar-CHO / Ar-R / Ar-Br,Ar-X,
4-Chloro-N-methylaniline,CNc1ccc(Cl)cc1,3,Ar-NHR / Ar-Cl / CH3-NHR,Ar-X / Alkyl-NHR,
Methyl 3-oxocyclobutane-1-carboxylate,COC(=O)C1CC(=O)C1,7,R2CH-CO2R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-Ester / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
3-Anilinopropionitrile,N#CCCNc1ccccc1,5,Ar-NHR / RCH2-CN / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-NHR,Alkyl-CN / Alkyl-H / Alkyl-H / Alkyl-NHR,
1-Bromo-2-naphthaldehyde,O=Cc1ccc2ccccc2c1Br,2,Ar-CHO / Ar-Br,Ar-X,
N-Methylcyclohexylamine,CNC1CCCCC1,2,R2CH-NHR / CH3-NHR,Alkyl-NHR / Alkyl-NHR,
Indoline,c1ccc2c(c1)CCN2,3,Ar-NHR / Ar-R / RCH2-NHR,Alkyl-NHR,
N-Ethyl-m-toluidine,CCNc1cccc(C)c1,3,Ar-NHR / Ar-R / RCH2-NHR,Alkyl-NHR,
Diphenylamine,c1ccc(Nc2ccccc2)cc1,1,Ar-NHAr,Ar-NHR,
Tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,5,Ar-CO2R / Ar-NHR / RCH2-NR2 / RCH2-NHR / CH3-NR2,Alkyl-NR2 / Alkyl-NHR / Alkyl-NR2,
2-Fluoro-N-methylaniline,CNc1ccccc1F,3,Ar-NHR / Ar-F / CH3-NHR,Ar-X / Alkyl-NHR,
N-Methyl-m-toluidine,CNc1cccc(C)c1,3,Ar-NHR / Ar-R / CH3-NHR,Alkyl-NHR,
N-Cyclohexylaniline,c1ccc(NC2CCCCC2)cc1,2,Ar-NHR / R2CH-NHR,Alkyl-NHR,
N-Ethyl-1-naphthylamine,CCNc1cccc2ccccc12,2,Ar-NHR / RCH2-NHR,Alkyl-NHR,
尾-Citronellol,CC(C)=CCCC(C)CCO,3,RCH2-OH / Alkyl-C=C / Alkyl-C=C,Alkyl-OH,
4-picoline-N-oxide,Cc1cc[n+]([O-])cc1,2,Ar-R / Pyridine,,
2-Iodobiphenyl,Ic1ccccc1-c1ccccc1,2,Ar-Ar / Ar-I,Ar-X,
2-Aminobenzaldehyde,Nc1ccccc1C=O,2,Ar-CHO / Ar-NH2,,
3-Ethynylanisole,C#Cc1cccc(OC)c1,2,Ar-C#CH / Ar-OR,Ar-C#C / Alkynyl-H / Any-C#C / CH3-OR / Alkyl-OR,
Potassium selenocyanate,N#C[SeH],0,,,
"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,3,Ar-OH / Ar-Cl / Ar-Cl,Ar-X / Ar-X,
o-Anisaldehyde,COc1ccccc1C=O,2,Ar-CHO / Ar-OR,CH3-OR / Alkyl-OR,
(Dichloroiodo)benzene,ClI(Cl)c1ccccc1,1,Ar-I,Ar-X,
"1,9-Decadiyne",C#CCCCCCCC#C,6,Alkyl-C#CH / Alkyl-C#CH / Propargyl-H / Propargyl-H / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,3,R2CH-OH / Alkyl-C=C / Alkyl-C=C,Alkyl-OH,
diisobutylaluminum hydride,CC(C)C.CC(C)C.[AlH3],1,Alkyl-H,,
Styrene,C=Cc1ccccc1,1,Ar-C=CH2,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C,
"3,6-Dihydro-2H-pyridine-1-N-Boc-4-boronic acid pinacol ester",CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,4,Alkenyl-Bpin / Alkyl-Carbamate / Alkyl-C=C / Alkyl-C=C,Alkenyl-B(OR)2 / Any-Dienophile / Motif-C=C / Cyclohexene,
Propionaldehyde,CCC=O,3,RCH2-CHO / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CHO / Alkyl-H / Alkyl-H,
"1,2,3,6-tetrahydrobenzaldehyde",O=CC1CC=CCC1,4,R2CH-CHO / Alkyl-H-acidic / Alkyl-C=C / Alkyl-C=C,Alkyl-CHO / Alkyl-H,
(E)-(2-nitrovinyl)benzene,O=[N+]([O-])C=Cc1ccccc1,2,Alkenyl-NO2 / Ar-C=C,Alkenyl-NR2 / Any-Dienophile / Motif-C=C / Ar-Alkenyl,
Benzo[b]thiophene-2-carboxaldehyde,O=Cc1cc2ccccc2s1,2,Ar-CHO / Benzothiophene,,
1-Iodopentane,CCCCCI,1,RCH2-I,Alkyl-I / RCH2-X / Alkyl-X,
Ethylmagnesium bromide,CC,1,Alkyl-H,,
4-methoxyphenylmagnesium bromide,COc1ccccc1,1,Ar-OR,CH3-OR / Alkyl-OR,
tert-Butyl nitrite,CC(C)(C)ON=O,1,Alkyl-H,,
N-Phenyl-bis(trifluoromethanesulfonimide),O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F,8,Ar-Sulfonamide / Alkyl-SO2NR2 / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-SO2NR2 / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
(Trimethylsilyl)methyllithium,C[Si](C)(C)C,1,Alkyl-Si,,
"2-Methyl-3-(3,4-methylenedioxyphenyl)-propanal",CC(C=O)Cc1ccc2c(c1)OCO2,5,Ar-OR / Ar-OR / Ar-R / R2CH-CHO / Alkyl-H-acidic,RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / Alkyl-CHO / Alkyl-H,
Benzophenone hydrazone,NN=C(c1ccccc1)c1ccccc1,1,Ar-Imino,,
Indole-3-carboxaldehyde,O=Cc1c[nH]c2ccccc12,3,Ar-CHO / AromN-H / Indole,Pyrrole,
Glyoxal dimethyl acetal,COC(C=O)OC,4,R2CH-CHO / Alkyl-H-acidic / R2CH-OR / R2CH-OR,Alkyl-CHO / Alkyl-H / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
"Methyllithium, 1.6 M sol. in diethyl ether",C,1,Alkyl-H,,
4-methylbenzaldehyde,Cc1ccc(C=O)cc1,2,Ar-CHO / Ar-R,,
Cyclobutanone,O=C1CCC1,5,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
Iodocyclohexane,IC1CCCCC1,1,R2CH-I,Alkyl-I / R2CH-X / Alkyl-X,
L(-)-Carvone,C=C(C)C1C=CC(C)C(=O)C1,7,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,Alkyl-H / Alkyl-H / Alkyl-H / R2CH-COR,
Triisobutylaluminum,[Al+3].[CH2-]C(C)C.[CH2-]C(C)C.[CH2-]C(C)C,1,Alkyl-H,,
Borane-tetrahydrofuran complex,C1CCOC1.[B],1,RCH2-OR,Alkyl-OR,
"1,3-Benzodioxole",c1ccc2c(c1)OCO2,2,Ar-OR / Ar-OR,RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR,
Nitrosobenzene,O=Nc1ccccc1,1,Ar-H,,
3-Ethynylaniline,C#Cc1cccc(N)c1,2,Ar-C#CH / Ar-NH2,Ar-C#C / Alkynyl-H / Any-C#C,
5-Nonanone,CCCCC(=O)CCCC,5,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
Cyclopropyldiphenylcarbinol,OC(c1ccccc1)(c1ccccc1)C1CC1,2,Ar-R / R3C-OH,Alkyl-OH,
tert-Butyl disulfide,CC(C)(C)SSC(C)(C)C,1,Alkyl-H,,
4-Aminostyrene,C=Cc1ccc(N)cc1,2,Ar-C=CH2 / Ar-NH2,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C,
Triphenylphosphine Borane,[B].c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,Ar-PR2,,
Diethyl (bromodifluoromethyl)phosphonate,CCOP(=O)(OCC)C(F)(F)Br,3,Alkyl-Br / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
5-bromo-2-fluorophenol,Oc1cc(Br)ccc1F,3,Ar-OH / Ar-Br / Ar-F,Ar-X / Ar-X,
"3,3-dimethyl-1-(trifluoromethyl)-1''3,2-benziodaoxole",CC1(C)OI(C(F)(F)F)c2ccccc21,6,Ar-R / Ar-I / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-I,Ar-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Dimethyl dicarbonate,COC(=O)OC(=O)OC,1,Alkyl-H,,
3-Fluorobenzaldehyde,O=Cc1cccc(F)c1,2,Ar-CHO / Ar-F,Ar-X,
"2,6-dibromopyridine 1-oxide",[O-][n+]1c(Br)cccc1Br,3,Ar-Br / Ar-Br / Pyridine,Ar-X / Ar-X,
4-Fluorophenol,Oc1ccc(F)cc1,2,Ar-OH / Ar-F,Ar-X,
o-Toluoyl chloride,Cc1ccccc1C(=O)Cl,2,Ar-COCl / Ar-R,Acyl-Cl / Ar-COX,
1-Bromo-2-butyne,CC#CCBr,4,Propargyl-Br / Propargyl-H / Propargyl-H / Alkyl-C#C,RCH2-Br / Alkyl-C#C / Alkyl-Br / RCH2-X / Alkyl-X / Any-C#C / Alkyl-H / Alkyl-H,
tert-Butyldimethylsilyl chloride,CC(C)(C)[Si](C)(C)Cl,1,Alkyl-Si,,
"2,3,4,6-Tetra-O-benzyl-D-glucopyranose",OC1OC(COCc2ccccc2)C(OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,10,Ar-R / Ar-R / Ar-R / Ar-R / Bn-OR / Bn-OR / Bn-OR / Bn-OR / R2CH-OR / R2CH-OH,RCH2-OR / Alkyl-OR / R2CH-OR / RCH2-OR / Alkyl-OR / R2CH-OR / RCH2-OR / Alkyl-OR / R2CH-OR / RCH2-OR / Alkyl-OR / Alkyl-OR / Alkyl-OH,
5-bromo-1-benzothiophene,Brc1ccc2sccc2c1,2,Ar-Br / Benzothiophene,Ar-X,
4-(Trifluoromethyl)benzaldehyde,O=Cc1ccc(C(F)(F)F)cc1,2,Ar-CF3 / Ar-CHO,Ar-R / Alkyl-F / Alkyl-X,
Trimethylsilyl trifluoromethanesulfonate,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,4,Alkyl-Si / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
Allyltrimethylsilane,C=CC[Si](C)(C)C,2,Alkyl-C=CH2 / Alkyl-Si,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C,
p-Cresol,Cc1ccc(O)cc1,2,Ar-OH / Ar-R,,
1-Bromo-3-methyl-2-butene,CC(C)=CCBr,3,Alkyl-C=C / Alkyl-C=C / RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
Indene,C1=Cc2ccccc2C1,3,Ar-C=C / Ar-R / Alkyl-C=C,Ar-Alkenyl / Any-Dienophile / Motif-C=C / Cyclohexene,
Methyl Benzoylformate,COC(=O)C(=O)c1ccccc1,1,Ar-COR,,
Difurfuryl disulfide,c1coc(CSSCc2ccco2)c1,4,Ar-R / Ar-R / Furan / Furan,,
2-Methyl-3-buten-2-ol,C=CC(C)(C)O,2,Alkyl-C=CH2 / R3C-OH,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-OH,
4-Chloro-1-butanol,OCCCCCl,2,RCH2-OH / RCH2-Cl,Alkyl-OH / Alkyl-Cl / RCH2-X / Alkyl-X,
3-Aminopropyltriethoxysilane,CCO[Si](CCCN)(OCC)OCC,2,RCH2-NH2 / Alkyl-Si,Alkyl-NH2,
4-Biphenylboronic acid,OB(O)c1ccc(-c2ccccc2)cc1,2,Ar-B(OH)2 / Ar-Ar,,
4-Phenyl-1-butene,C=CCCc1ccccc1,2,Alkyl-C=CH2 / Ar-R,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C,
4-(Hydroxymethyl)phenylboronic acid,OCc1ccc(B(O)O)cc1,3,Ar-B(OH)2 / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
1-Iodobutane,CCCCI,1,RCH2-I,Alkyl-I / RCH2-X / Alkyl-X,
Naphthalene-2-boronic acid,OB(O)c1ccc2ccccc2c1,1,Ar-B(OH)2,,
Pyridinium chlorochromate,[Cr+6].c1ccncc1,1,Pyridine,,
4-(2-Pyridyl)benzaldehyde,O=Cc1ccc(-c2ccccn2)cc1,3,Ar-CHO / Ar-Ar / Pyridine,,
4'-Iodoacetophenone,CC(=O)c1ccc(I)cc1,5,Ar-COR / Ar-I / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-H,
2-chloropyrimidine,Clc1ncccn1,2,Ar-Cl / Pyrimidine,Ar-X,
5-norbornene-2-carboxaldehyde,O=CC1CC2C=CC1C2,4,R2CH-CHO / Alkyl-H-acidic / Alkyl-C=C / Alkyl-C=C,Alkyl-CHO / Alkyl-H,
Phenylhydrazine,NNc1ccccc1,1,Ar-Hydrazine,Ar-NHR,
Methyl 2-Octynoate,CCCCCC#CC(=O)OC,3,Alkynyl-CO2R / Propargyl-H / Propargyl-H,Any-C#C / Alkyl-C#C / Alkyl-H / Alkyl-H,
4-Fluorobenzaldehyde,O=Cc1ccc(F)cc1,2,Ar-CHO / Ar-F,Ar-X,
1-Iodopropane,CCCI,1,RCH2-I,Alkyl-I / RCH2-X / Alkyl-X,
"1,3-diphenyl-2-propyn-1-ol",OC(C#Cc1ccccc1)c1ccccc1,4,Ar-C#C / Ar-R / R2CH-OH / Alkyl-C#C,Any-C#C / Alkyl-OH,
3-methyl-1-pentyn-3-ol,C#CC(C)(O)CC,2,Alkyl-C#CH / R3C-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
2-Aminopyridine,Nc1ccccn1,2,Ar-NH2 / Pyridine,,
N-Methylaniline,CNc1ccccc1,2,Ar-NHR / CH3-NHR,Alkyl-NHR,
o-Phenylenediamine,Nc1ccccc1N,2,Ar-NH2 / Ar-NH2,,
N-Methyliminodiacetic acid,CN(CC(=O)O)CC(=O)O,8,RCH2-CO2H / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-NR2 / CH3-NR2,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-NR2 / Alkyl-NR2,
"1,2-Dicyanobenzene",N#Cc1ccccc1C#N,2,Ar-CN / Ar-CN,,
DL-2-phenyl-3-butyn-2-ol,C#CC(C)(O)c1ccccc1,3,Alkyl-C#CH / Ar-R / R3C-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
Di-tert-butyl dicarbonate,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,1,Alkyl-H,,
Pyridine borane,[BH3-][n+]1ccccc1,1,Pyridine,,
Pyrazole,c1cn[nH]c1,2,AromN-H / Pyrazole,,
Tryptophol,OCCc1c[nH]c2ccccc12,4,Ar-R / AromN-H / RCH2-OH / Indole,Alkyl-OH / Pyrrole,
4-bromoindole,Brc1cccc2[nH]ccc12,3,Ar-Br / AromN-H / Indole,Ar-X / Pyrrole,
3-Hydroxyphenylacetylene,C#Cc1cccc(O)c1,2,Ar-C#CH / Ar-OH,Ar-C#C / Alkynyl-H / Any-C#C,
1-Heptyne,C#CCCCCC,3,Alkyl-C#CH / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H,
5-Hexynoic Acid,C#CCCCC(=O)O,6,Alkyl-C#CH / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Cyclopropanecarboxaldehyde,O=CC1CC1,2,R2CH-CHO / Alkyl-H-acidic,Alkyl-CHO / Alkyl-H,
azidotrimethylsilane,C[Si](C)(C)N=[N+]=[N-],1,Alkyl-Si,,
Cyclohexanecarboxaldehyde,O=CC1CCCCC1,2,R2CH-CHO / Alkyl-H-acidic,Alkyl-CHO / Alkyl-H,
Methyl 4-Formylbenzoate,COC(=O)c1ccc(C=O)cc1,2,Ar-CO2R / Ar-CHO,,
Phenyl isocyanate,O=C=Nc1ccccc1,1,Ar-H,,
"2,6-dichloropyridine 1-oxide",[O-][n+]1c(Cl)cccc1Cl,3,Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
9-Borabicyclo[3.3.1]nonane dimer,C1CC2CCCC(C1)B2B1C2CCCC1CCC2,1,Alkyl-H,,
"3,5-Difluorophenylboronic acid",OB(O)c1cc(F)cc(F)c1,3,Ar-B(OH)2 / Ar-F / Ar-F,Ar-X / Ar-X,
2-Bromobenzaldehyde,O=Cc1ccccc1Br,2,Ar-CHO / Ar-Br,Ar-X,
4-Cyanobenzenesulfonyl chloride,N#Cc1ccc(S(=O)(=O)Cl)cc1,2,Ar-CN / Ar-SO2Cl,Ar-SO2X,
Methyl Benzoate,COC(=O)c1ccccc1,1,Ar-CO2R,,
oxo(diphenoxy)phosphanium,O=[PH](Oc1ccccc1)Oc1ccccc1,1,Ar-H,,
4-Bromobenzenesulfonyl chloride,O=S(=O)(Cl)c1ccc(Br)cc1,2,Ar-SO2Cl / Ar-Br,Ar-SO2X / Ar-X,
4-Nitroindole,O=[N+]([O-])c1cccc2[nH]ccc12,3,Ar-NO2 / AromN-H / Indole,Ar-NR2 / Pyrrole,
1-Naphthylacetic acid,O=C(O)Cc1cccc2ccccc12,4,Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
"1,5,6,7-Tetrahydro-4H-indol-4-one",O=C1CCCc2[nH]ccc21,6,Ar-COR / Ar-R / AromN-H / Alkyl-H-acidic / Alkyl-H-acidic / Pyrrole,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H,
4-(Trifluoromethyl)benzenesulfonyl chloride,O=S(=O)(Cl)c1ccc(C(F)(F)F)cc1,2,Ar-CF3 / Ar-SO2Cl,Ar-R / Alkyl-F / Alkyl-X / Ar-SO2X,
4-Methylindole,Cc1cccc2[nH]ccc12,3,Ar-R / AromN-H / Indole,Pyrrole,
1-Propanesulfonyl Chloride,CCCS(=O)(=O)Cl,3,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-SO2Cl,Alkyl-H / Alkyl-H,
5-Fluoroindole,Fc1ccc2[nH]ccc2c1,3,Ar-F / AromN-H / Indole,Ar-X / Pyrrole,
5-Methylindole,Cc1ccc2[nH]ccc2c1,3,Ar-R / AromN-H / Indole,Pyrrole,
4-Chloroindole,Clc1cccc2[nH]ccc12,3,Ar-Cl / AromN-H / Indole,Ar-X / Pyrrole,
benzoin,O=C(c1ccccc1)C(O)c1ccccc1,4,Ar-COR / Ar-R / Alkyl-H-acidic / R2CH-OH,R2CH-COR / Alkyl-COR / Alkyl-H / Alkyl-OH,
"3,4-Dichlorobenzenesulfonyl Chloride",O=S(=O)(Cl)c1ccc(Cl)c(Cl)c1,3,Ar-SO2Cl / Ar-Cl / Ar-Cl,Ar-SO2X / Ar-X / Ar-X,
"2,3-Dibromopropionyl Chloride",O=C(Cl)C(Br)CBr,4,Acyl-Cl / Alkyl-H-acidic / R2CH-Br / RCH2-Br,Alkyl-H / Alkyl-Br / R2CH-X / Alkyl-X / Alkyl-Br / RCH2-X / Alkyl-X,
4-Fluoroiodobenzene,Fc1ccc(I)cc1,2,Ar-F / Ar-I,Ar-X / Ar-X,
Benzenesulfonyl Hydrazide,NNS(=O)(=O)c1ccccc1,1,Ar-SO2NHR,,
4-Bromobiphenyl,Brc1ccc(-c2ccccc2)cc1,2,Ar-Br / Ar-Ar,Ar-X,
2-Ethylbenzoic acid-in-Tol-10%,CCc1ccccc1C(=O)O,2,Ar-CO2H / Ar-R,,
Meldrum's acid,CC1(C)OC(=O)CC(=O)O1,4,RCH2-CO2R / RCH2-CO2R / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-Ester / Alkyl-Ester / Alkyl-H / Alkyl-H,
1-ethoxy-4-(2-P-tolylethynyl)benzene,CCOc1ccc(C#Cc2ccc(C)cc2)cc1,4,Ar-OR / Ar-C#C / Ar-C#C / Ar-R,RCH2-OR / Alkyl-OR / Any-C#C,
Biphenyl-4-sulphonyl chloride,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1,2,Ar-SO2Cl / Ar-Ar,Ar-SO2X,
Hexamethylenetetramine,C1N2CN3CN1CN(C2)C3,4,RCH2-NR2 / RCH2-NR2 / RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
Methyl (R)-(-)-mandelate,COC(=O)C(O)c1ccccc1,4,Ar-R / R2CH-CO2R / Alkyl-H-acidic / R2CH-OH,Alkyl-Ester / Alkyl-H / Alkyl-OH,
"2,2,2-Trifluoroacetophenone",O=C(c1ccccc1)C(F)(F)F,4,Ar-COR / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-COR / Alkyl-X / Alkyl-X / Alkyl-X,
N-Chlorosuccinimide,Oc1ccc(O)n1Cl,2,Ar-OH / Ar-OH,,
3-Methylbenzylamine,Cc1cccc(CN)c1,3,Ar-R / Ar-R / Bn-NH2,RCH2-NH2 / Alkyl-NH2,
p-Anisidine-Tol-10%,COc1ccc(N)cc1,2,Ar-OR / Ar-NH2,CH3-OR / Alkyl-OR,
2-Bromobenzyl bromide,BrCc1ccccc1Br,3,Ar-R / Ar-Br / Bn-Br,Ar-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
Diethyl phosphite,CCO[P+](=O)OCC,1,Alkyl-H,,
dimethyl hydrogen phosphite,CO[PH](=O)OC,1,Alkyl-H,,
"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",[Ni+2].c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
Tetra-n-butylammonium trifluoromethanesulfonate,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,3,Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
tert-Butylamine,CC(C)(C)N,1,R3C-NH2,Alkyl-NH2,
o-Toluic acid,Cc1ccccc1C(=O)O,2,Ar-CO2H / Ar-R,,
4-Iodophenylboronic acid,OB(O)c1ccc(I)cc1,2,Ar-B(OH)2 / Ar-I,Ar-X,
4-Bromophenylboronic acid,OB(O)c1ccc(Br)cc1,2,Ar-B(OH)2 / Ar-Br,Ar-X,
2-Iodoaniline,Nc1ccccc1I,2,Ar-NH2 / Ar-I,Ar-X,
3-Chloro-2-methylpropene,C=C(C)CCl,2,Alkyl-C=C / RCH2-Cl,Alkyl-Cl / RCH2-X / Alkyl-X,
p-nitrocinnamic acid,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,3,Alkenyl-CO2H / Ar-NO2 / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-NR2 / Ar-Alkenyl,
(E)-o-hydroxycinnamic acid,O=C(O)C=Cc1ccccc1O,3,Alkenyl-CO2H / Ar-C=C / Ar-OH,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
cinnamamide,NC(=O)C=Cc1ccccc1,2,Alkenyl-CONH2 / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
"3,4-Dichlorobenzaldehyde",O=Cc1ccc(Cl)c(Cl)c1,3,Ar-CHO / Ar-Cl / Ar-Cl,Ar-X / Ar-X,
3-(4-Nitrophenyl)propanoic acid,O=C(O)CCc1ccc([N+](=O)[O-])cc1,5,Ar-NO2 / Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Ar-NR2 / Alkyl-CO2H / Alkyl-H / Alkyl-H,
o-Tolyhdrazine hydrochloride,Cc1ccccc1NN,2,Ar-Hydrazine / Ar-R,Ar-NHR,
Anthraquinone,O=C1c2ccccc2C(=O)c2ccccc21,2,Ar-COR / Ar-COR,,
3-(4-Methoxyphenyl)propionic acid,COc1ccc(CCC(=O)O)cc1,5,Ar-OR / Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,CH3-OR / Alkyl-OR / Alkyl-CO2H / Alkyl-H / Alkyl-H,
7-Hydroxycoumarin,O=c1ccc2ccc(O)cc2o1,1,Ar-OH,,
"6,11-Dihydrodibenzo[b,e]thiepin-11-one",O=C1c2ccccc2CSc2ccccc21,4,Ar-COR / Ar-SR / Ar-R / Bn-SR,RCH2-SR / Alkyl-SR,
Triphenylamine,c1ccc(N(c2ccccc2)c2ccccc2)cc1,1,Ar-NAr2,Ar-NR2,
4-Chlorocinnamic acid,O=C(O)C=Cc1ccc(Cl)cc1,3,Alkenyl-CO2H / Ar-C=C / Ar-Cl,Any-Dienophile / Motif-C=C / Ar-Alkenyl / Ar-X,
"3,4-(methylenedioxy)cinnamic acid",O=C(O)C=Cc1ccc2c(c1)OCO2,4,Alkenyl-CO2H / Ar-OR / Ar-OR / Ar-C=C,Any-Dienophile / Motif-C=C / RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / Ar-Alkenyl,
4-Methylcinnamic acid,Cc1ccc(C=CC(=O)O)cc1,3,Alkenyl-CO2H / Ar-C=C / Ar-R,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
1-Bromo-2-naphthol,Oc1ccc2ccccc2c1Br,2,Ar-OH / Ar-Br,Ar-X,
2-Anilinopyridine,c1ccc(Nc2ccccn2)cc1,2,Ar-NHAr / Pyridine,Ar-NHR,
4-Methoxybenzophenone,COc1ccc(C(=O)c2ccccc2)cc1,2,Ar-COR / Ar-OR,CH3-OR / Alkyl-OR,
4-Chlorobenzophenone,O=C(c1ccccc1)c1ccc(Cl)cc1,2,Ar-COR / Ar-Cl,Ar-X,
"2,4-Dichlorophenylhydrazine hydrochloride",NNc1ccc(Cl)cc1Cl,3,Ar-Hydrazine / Ar-Cl / Ar-Cl,Ar-NHR / Ar-X / Ar-X,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,1,Ar-Br,Ar-X,
