name,smiles,role,reaction_types,notes,input_smiles,featurization_success,featurization_error,canonical_smiles,valid_smiles,motif_count,motifs,unique_motif_count,unique_motifs,grouped_motifs_json,ranked_motifs,analysis_count,aryl_analysis_json
3-Bromo-2-methylpropene (allylic),C=C(C)CBr,electrophile,SN2; Allylic-substitution,Allylic bromide; can undergo allylic substitution,C=C(C)CBr,True,,C=C(C)CBr,True,2,RCH2-Br;RCH2-Alkenyl,2,RCH2-Br;RCH2-Alkenyl,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""RCH2-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-Alkenyl""], ""compound_id"": ""RCH2-Alkenyl"", ""count"": 1, ""rank_score"": 254.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 1, ""bond"": [0, 1]}], ""undocumented"": false}]",RCH2-Br;RCH2-Alkenyl,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Neopentyl bromide,CC(C)(C)CBr,electrophile,Suzuki-Miyaura; Negishi,No β-hydrogens; minimal elimination risk,CC(C)(C)CBr,True,,CC(C)(C)CBr,True,1,RCH2-Br,1,RCH2-Br,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""RCH2-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",RCH2-Br,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Phenylboronic acid,c1ccc(B(O)O)cc1,nucleophile,Suzuki-Miyaura,Standard boronic acid coupling partner,c1ccc(B(O)O)cc1,True,,OB(O)c1ccccc1,True,1,Ar-B(OH)2,1,Ar-B(OH)2,"[{""alt_compound_ids"": [""Ar-B*""], ""compound_id"": ""Ar-B(OH)2"", ""count"": 1, ""rank_score"": 646.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-B(OH)2,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Methoxyphenylboronic acid,COc1ccc(B(O)O)cc1,nucleophile,Suzuki-Miyaura,Electron-rich boronic acid,COc1ccc(B(O)O)cc1,True,,COc1ccc(B(O)O)cc1,True,2,Ar-B(OH)2;Ar-OR,2,Ar-B(OH)2;Ar-OR,"[{""alt_compound_ids"": [""Ar-B*""], ""compound_id"": ""Ar-B(OH)2"", ""count"": 1, ""rank_score"": 646.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-O*"", ""Alkyl-OR"", ""Ar-O*"", ""CH3-OR""], ""compound_id"": ""Ar-OR"", ""count"": 1, ""rank_score"": 280.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-B(OH)2;Ar-OR,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Cyanophenylboronic acid,N#Cc1ccc(B(O)O)cc1,nucleophile,Suzuki-Miyaura,Electron-poor boronic acid,N#Cc1ccc(B(O)O)cc1,True,,N#Cc1ccc(B(O)O)cc1,True,2,Ar-B(OH)2;Ar-CN,2,Ar-B(OH)2;Ar-CN,"[{""alt_compound_ids"": [""Ar-B*""], ""compound_id"": ""Ar-B(OH)2"", ""count"": 1, ""rank_score"": 646.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""compound_id"": ""Ar-CN"", ""count"": 1, ""rank_score"": 372.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-B(OH)2;Ar-CN,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Phenylboronic acid pinacol ester,c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,nucleophile,Suzuki-Miyaura,Protected boronic acid; more stable,c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,True,,CC1(C)OB(c2ccccc2)OC1(C)C,True,1,Ar-B(OR)2,1,Ar-B(OR)2,"[{""alt_compound_ids"": [""Alkyl-O*"", ""Ar-B*""], ""compound_id"": ""Ar-B(OR)2"", ""count"": 1, ""rank_score"": 656.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-B(OR)2,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Potassium phenyltrifluoroborate,c1ccc([B-](F)(F)F)cc1.[K+],nucleophile,Suzuki-Miyaura,BF3K salt; air-stable boronate,c1ccc([B-](F)(F)F)cc1.[K+],True,,F[B-](F)(F)c1ccccc1.[K+],True,1,Ar-BF3K,1,Ar-BF3K,"[{""alt_compound_ids"": [""Ar-B*""], ""compound_id"": ""Ar-BF3K"", ""count"": 1, ""rank_score"": 621.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-BF3K,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Vinylboronic acid,C=CB(O)O,nucleophile,Suzuki-Miyaura,Vinyl boronic acid,C=CB(O)O,True,,C=CB(O)O,True,1,Alkenyl-B(OH)2,1,Alkenyl-B(OH)2,"[{""alt_compound_ids"": [""Alkenyl-B*""], ""compound_id"": ""Alkenyl-B(OH)2"", ""count"": 1, ""rank_score"": 499.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [0, 1]}], ""undocumented"": false}]",Alkenyl-B(OH)2,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
(E)-Propenylboronic acid,C/C=C/B(O)O,nucleophile,Suzuki-Miyaura,Stereodefined vinyl boronic acid,C/C=C/B(O)O,True,,C/C=C/B(O)O,True,2,Alkenyl-B(OH)2;Alkyl-Alkenyl,2,Alkenyl-B(OH)2;Alkyl-Alkenyl,"[{""alt_compound_ids"": [""Alkenyl-B*""], ""compound_id"": ""Alkenyl-B(OH)2"", ""count"": 1, ""rank_score"": 499.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 3, ""bond"": [1, 2]}], ""undocumented"": false}, {""compound_id"": ""Alkyl-Alkenyl"", ""count"": 1, ""rank_score"": 407.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Alkenyl-B(OH)2;Alkyl-Alkenyl,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Ethylboronic acid,CCB(O)O,nucleophile,Suzuki-Miyaura,Alkyl boronic acid; prone to β-hydride issues,CCB(O)O,True,,CCB(O)O,True,1,RCH2-B(OH)2,1,RCH2-B(OH)2,"[{""alt_compound_ids"": [""Alkyl-B(OH)2"", ""Alkyl-B*""], ""compound_id"": ""RCH2-B(OH)2"", ""count"": 1, ""rank_score"": 481.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}]",RCH2-B(OH)2,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Pyridine-4-boronic acid,c1ccncc1B(O)O,nucleophile,Suzuki-Miyaura,Heteroaryl boronic acid; pyridine coordination risk,c1ccncc1B(O)O,True,,OB(O)c1cccnc1,True,5,HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-B(OH)2;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-B(OH)2"", ""Ar-B*""], ""compound_id"": ""HeteroAr-B(OH)2"", ""count"": 1, ""rank_score"": 700.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 9, ""bond"": [0, 9]}, {""a_atom_idx"": 1, ""b_atom_idx"": 10, ""bond"": [1, 10]}, {""a_atom_idx"": 2, ""b_atom_idx"": 11, ""bond"": [2, 11]}, {""a_atom_idx"": 4, ""b_atom_idx"": 12, ""bond"": [4, 12]}], ""undocumented"": false}]",HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Furan-2-boronic acid,c1coc(B(O)O)c1,nucleophile,Suzuki-Miyaura,Five-membered heterocyclic boronic acid,c1coc(B(O)O)c1,True,,OB(O)c1ccco1,True,4,HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-B(OH)2;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-B(OH)2"", ""Ar-B*""], ""compound_id"": ""HeteroAr-B(OH)2"", ""count"": 1, ""rank_score"": 700.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 8, ""bond"": [0, 8]}, {""a_atom_idx"": 1, ""b_atom_idx"": 9, ""bond"": [1, 9]}, {""a_atom_idx"": 7, ""b_atom_idx"": 12, ""bond"": [7, 12]}], ""undocumented"": false}]",HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 1, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Furan""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
Thiophene-2-boronic acid,c1csc(B(O)O)c1,nucleophile,Suzuki-Miyaura,Thiophene boronic acid; sulfur can coordinate,c1csc(B(O)O)c1,True,,OB(O)c1cccs1,True,4,HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-B(OH)2;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-B(OH)2"", ""Ar-B*""], ""compound_id"": ""HeteroAr-B(OH)2"", ""count"": 1, ""rank_score"": 700.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 8, ""bond"": [0, 8]}, {""a_atom_idx"": 1, ""b_atom_idx"": 9, ""bond"": [1, 9]}, {""a_atom_idx"": 7, ""b_atom_idx"": 12, ""bond"": [7, 12]}], ""undocumented"": false}]",HeteroAr-B(OH)2;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 1}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Thiophene""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
Aniline,c1ccc(N)cc1,nucleophile,Buchwald-Hartwig; Ullmann; SNAr,Aromatic primary amine; standard C-N coupling partner,c1ccc(N)cc1,True,,Nc1ccccc1,True,1,Ar-NH2,1,Ar-NH2,"[{""alt_compound_ids"": [""Ar-N*""], ""compound_id"": ""Ar-NH2"", ""count"": 1, ""rank_score"": 346.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-NH2,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Ethylamine,CCN,nucleophile,Buchwald-Hartwig; Ullmann; SNAr,Primary aliphatic amine,CCN,True,,CCN,True,1,RCH2-NH2,1,RCH2-NH2,"[{""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NH2""], ""compound_id"": ""RCH2-NH2"", ""count"": 1, ""rank_score"": 381.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}]",RCH2-NH2,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Isopropylamine,CC(C)N,nucleophile,Buchwald-Hartwig; Ullmann,Branched primary amine; α-branching,CC(C)N,True,,CC(C)N,True,1,R2CH-NH2,1,R2CH-NH2,"[{""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NH2""], ""compound_id"": ""R2CH-NH2"", ""count"": 1, ""rank_score"": 381.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 3, ""bond"": [1, 3]}], ""undocumented"": false}]",R2CH-NH2,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
tert-Butylamine,CC(C)(C)N,nucleophile,Buchwald-Hartwig,Highly hindered primary amine,CC(C)(C)N,True,,CC(C)(C)N,True,1,R3C-NH2,1,R3C-NH2,"[{""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NH2""], ""compound_id"": ""R3C-NH2"", ""count"": 1, ""rank_score"": 381.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 4, ""bond"": [1, 4]}], ""undocumented"": false}]",R3C-NH2,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
N-Methylethylamine,CCNC,nucleophile,Buchwald-Hartwig; Ullmann,Secondary aliphatic amine,CCNC,True,,CCNC,True,2,RCH2-NHR;CH3-NHR,2,RCH2-NHR;CH3-NHR,"[{""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NHR""], ""compound_id"": ""RCH2-NHR"", ""count"": 1, ""rank_score"": 381.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NHR""], ""compound_id"": ""CH3-NHR"", ""count"": 1, ""rank_score"": 340.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 2, ""bond"": [2, 3]}], ""undocumented"": false}]",RCH2-NHR;CH3-NHR,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
N-Methylaniline,c1ccc(NC)cc1,nucleophile,Buchwald-Hartwig; Ullmann,Secondary aromatic amine,c1ccc(NC)cc1,True,,CNc1ccccc1,True,2,Ar-NHR;CH3-NHR,2,Ar-NHR;CH3-NHR,"[{""alt_compound_ids"": [""Ar-N*""], ""compound_id"": ""Ar-NHR"", ""count"": 1, ""rank_score"": 346.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NHR""], ""compound_id"": ""CH3-NHR"", ""count"": 1, ""rank_score"": 340.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 4, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-NHR;CH3-NHR,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
"N,N-Dimethylaniline",c1ccc(N(C)C)cc1,nucleophile,,Tertiary amine; not reactive in C-N coupling,c1ccc(N(C)C)cc1,True,,CN(C)c1ccccc1,True,2,Ar-NR2;CH3-NR2,2,Ar-NR2;CH3-NR2,"[{""alt_compound_ids"": [""Ar-N*""], ""compound_id"": ""Ar-NR2"", ""count"": 1, ""rank_score"": 154.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-N*"", ""Alkyl-NR2""], ""compound_id"": ""CH3-NR2"", ""count"": 1, ""rank_score"": 148.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 4, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-NR2;CH3-NR2,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Methoxyaniline,COc1ccc(N)cc1,nucleophile,Buchwald-Hartwig; Ullmann,Electron-rich aniline,COc1ccc(N)cc1,True,,COc1ccc(N)cc1,True,2,Ar-NH2;Ar-OR,2,Ar-NH2;Ar-OR,"[{""alt_compound_ids"": [""Ar-N*""], ""compound_id"": ""Ar-NH2"", ""count"": 1, ""rank_score"": 346.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-O*"", ""Alkyl-OR"", ""Ar-O*"", ""CH3-OR""], ""compound_id"": ""Ar-OR"", ""count"": 1, ""rank_score"": 280.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-NH2;Ar-OR,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Aminobenzonitrile,N#Cc1ccc(N)cc1,nucleophile,Buchwald-Hartwig; Ullmann,Electron-poor aniline; less nucleophilic,N#Cc1ccc(N)cc1,True,,N#Cc1ccc(N)cc1,True,2,Ar-CN;Ar-NH2,2,Ar-CN;Ar-NH2,"[{""compound_id"": ""Ar-CN"", ""count"": 1, ""rank_score"": 372.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-N*""], ""compound_id"": ""Ar-NH2"", ""count"": 1, ""rank_score"": 346.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}]",Ar-CN;Ar-NH2,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Aminopyridine,Nc1ccncc1,nucleophile,Buchwald-Hartwig,Heteroaryl amine; pyridine coordination,Nc1ccncc1,True,,Nc1ccncc1,True,5,HeteroAr-NH2;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-NH2;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-N*"", ""Ar-NH2"", ""HeteroAr-N*""], ""compound_id"": ""HeteroAr-NH2"", ""count"": 1, ""rank_score"": 400.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 9, ""bond"": [2, 9]}, {""a_atom_idx"": 3, ""b_atom_idx"": 10, ""bond"": [3, 10]}, {""a_atom_idx"": 5, ""b_atom_idx"": 11, ""bond"": [5, 11]}, {""a_atom_idx"": 6, ""b_atom_idx"": 12, ""bond"": [6, 12]}], ""undocumented"": false}]",HeteroAr-NH2;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Indole,c1ccc2[nH]ccc2c1,nucleophile,Buchwald-Hartwig; C-H activation,NH heterocycle; can act as nucleophile,c1ccc2[nH]ccc2c1,True,,c1ccc2[nH]ccc2c1,True,7,HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,2,HeteroAr-H;AromN-H,"[{""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 6, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 9, ""bond"": [0, 9]}, {""a_atom_idx"": 1, ""b_atom_idx"": 10, ""bond"": [1, 10]}, {""a_atom_idx"": 2, ""b_atom_idx"": 11, ""bond"": [2, 11]}, {""a_atom_idx"": 5, ""b_atom_idx"": 13, ""bond"": [5, 13]}, {""a_atom_idx"": 6, ""b_atom_idx"": 14, ""bond"": [6, 14]}, {""a_atom_idx"": 8, ""b_atom_idx"": 15, ""bond"": [8, 15]}], ""undocumented"": false}, {""compound_id"": ""AromN-H"", ""count"": 1, ""rank_score"": 317.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 12, ""bond"": [4, 12]}], ""undocumented"": false}]",HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Indole"", ""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}"
3-Aminopyrrole,c1c[nH]c(N)c1,nucleophile,Buchwald-Hartwig,Heteroaryl amine with NH,c1c[nH]c(N)c1,True,,Nc1ccc[nH]1,True,5,HeteroAr-NH2;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,3,HeteroAr-NH2;HeteroAr-H;AromN-H,"[{""alt_compound_ids"": [""Ar-N*"", ""Ar-NH2"", ""HeteroAr-N*""], ""compound_id"": ""HeteroAr-NH2"", ""count"": 1, ""rank_score"": 400.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 6, ""bond"": [0, 6]}, {""a_atom_idx"": 1, ""b_atom_idx"": 7, ""bond"": [1, 7]}, {""a_atom_idx"": 5, ""b_atom_idx"": 11, ""bond"": [5, 11]}], ""undocumented"": false}, {""compound_id"": ""AromN-H"", ""count"": 1, ""rank_score"": 317.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 8, ""bond"": [2, 8]}], ""undocumented"": false}]",HeteroAr-NH2;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
