Level1 Level2 Level3=SMARTS_RX SMARTS_RX_SMARTS
PFAS PFAS_Heteroaromatic PFAS_Heteroaromatic [$([*;$([$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)])]);!$(CF)]C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)]
Nitroxy Nitroxy Nitroxy [N,n;$([N,n]=O);!$(N(~O)~O)]
Diazo Diazo Diazo [C;$(C=[N+]=[N-;!$(N(~N)~N)])]
ThioCyanate ThioCyanate_Aliphatic ThioCyanate_Aliphatic [S;$(SC#N);$([!$(*a)])]
ThioCyanate ThioCyanate_Aromatic ThioCyanate_Aromatic [S;$(SC#N);$([$(*a)])]
ThioisoCyanate ThioisoCyanate_Aliphatic ThioisoCyanate_SaturatedAliphatic [N;$(N=C=S);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
ThioisoCyanate ThioisoCyanate_Aliphatic ThioisoCyanate_UnsaturatedAliphatic [N;$(N=C=S);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
ThioisoCyanate ThioisoCyanate_Aromatic ThioisoCyanate_Aromatic [N;$(N=C=S);$([$(*[c;$(c1ccccc1)])])]
ThioisoCyanate ThioisoCyanate_Heteroaromatic ThioisoCyanate_Heteroaromatic [N;$(N=C=S);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Cyanate Cyanate_Aliphatic Cyanate_Aliphatic [O;$(OC#N);$([!$(*a)]);$(O([#6])[#6])]
Cyanate Cyanate_Aromatic Cyanate_Aromatic [O;$(OC#N);$([$(*a)]);$(O([#6])[#6])]
IsoCyanate IsoCyanate_Aliphatic IsoCyanate_SaturatedAliphatic [N;$(N=C=O);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
IsoCyanate IsoCyanate_Aliphatic IsoCyanate_UnsaturatedAliphatic [N;$(N=C=O);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
IsoCyanate IsoCyanate_Aromatic IsoCyanate_Aromatic [N;$(N=C=O);$([$(*[c;$(c1ccccc1)])])]
IsoCyanate IsoCyanate_Heteroaromatic IsoCyanate_Heteroaromatic [N;$(N=C=O);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Boroxine AromBoroxine AromBoroxine [B;$(B1([a])OB([a])OB([a])O1)]
Boroxine AliphaticBoroxine AliphaticBoroxine [B;$(B1([A])OB([A])OB([A])O1)]
Boroxine MixBoroxine MixBoroxine [B;$(B1([a])OB([A,a])OB([A])O1)]
Boronate Boronate_Aliphatic Boronate_SaturatedAliphatic [B;$(B([O;!D1])[O;!D1]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(BB);!$([B;R]([O;R])([O;R])[N;R]);!$(B(O)(O)O);!$(B1OBOBO1)]
Boronate Boronate_Aliphatic Boronate_UnsaturatedAliphatic [B;$(B([O;!D1])[O;!D1]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Boronate Boronate_Aromatic Boronate_Aromatic [B;$(B([O;!D1])[O;!D1]);$([$(*[c;$(c1ccccc1)])]);!$(B1OBOBO1)]
Boronate Boronate_Heteroaromatic Boronate_Heteroaromatic [B;$(B([O;!D1])[O;!D1]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Boronate PincerBoronate PincerBoronate [B;$(B12OCCN(CCO2)1)]
Boronate AromDiboronate AromDiboronate [B;$(B([O;D2][a])([O;D2][a])B([O;D2][a])[O;D2][a])]
Boronate AliphaticDiboronate AliphaticDiboronate [B;$(B([O;D2][A])([O;D2][A])B([O;D2][A])[O;D2][A])]
Boronate TrialkylBoronate TrialkylBoronate [B;$(B([O;D2][A])([O;D2][A])[O;D2][A])]
Boronate TrifluoroBoronateAromatic TrifluoroBoronateAromatic [B;$(B([a])(F)(F)F)]
Boronate TrifluoroBoronateAliphatic TrifluoroBoronateAliphatic [B;$(B([A])(F)(F)F)]
Boronic Boronic_Aliphatic Boronic_SaturatedAliphatic [B;$([B;!R]([O;D1])[O;D1]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Boronic Boronic_Aliphatic Boronic_UnsaturatedAliphatic [B;$([B;!R]([O;D1])[O;D1]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Boronic Boronic_Aromatic Boronic_Aromatic [B;$([B;!R]([O;D1])[O;D1]);$([$(*[c;$(c1ccccc1)])])]
Boronic Boronic_Heteroaromatic Boronic_Heteroaromatic [B;$([B;!R]([O;D1])[O;D1]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Boronic BoronicCyclic BoronicCyclic [B;R;$(B([O;D1])[O;D2])]
Borane AliphaticBorane AliphaticBorane [B;D2;$(B[C;X4])]
Borane AliphaticDiborane AliphaticDiborane [B;$(B([C;X4])([C;X4])B([C;X4])[C;X4])]
Protecting Fmoc Fmoc [N;$(NC(=O)OC1c2ccccc2-c3c1cccc3)]
Protecting Boc Boc [N,n;$([N,n][C;!R](=O)OC([C;D1])([C;D1])[C;D1])]
Protecting Pivalic Pivalic [O;D2;$(OC(=O)C([C;D1])([C;D1])[C;D1])]
Alkene/MichaelAcceptor AlkeneTerminal AlkeneTerminal [C;D1;$(C=[c,C][*;!$(*=C)])]
Alkene/MichaelAcceptor AlkeneNonTerminal AlkeneNonTerminal [C;D2,D3;$([C;!$(C[$(C#N),B,F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]([*;!$(*#,=C)])=[C;!$(C[$(C#N),B,F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])][*;!$(*#,=C)]);$(C([*;!#8;!#12;!#7])=C([*;!#8;!#12;!#7]))]
Thioether ThioetherAliphaticCyclic ThioetherAliphaticCyclic [S;R;D2;$(S([*;!a])[*;!a]);!$(S*(=*));!$(S~[*;!#6]);!$(S~C~[O,N,S,P])]
Thioether ThioetherMixCyclic ThioetherMixCyclic [S;R;D2;$(S([*;A])[*;a]);!$(S*(=*));!$(S~[*;!#6])]
Thioether ThioetherAromaticAcyclic ThioetherAromaticAcyclic [S;!R;D2;$(S([*;a])[*;a])]
Thioether ThioetherAliphaticAcyclic ThioetherAliphaticAcyclic [S;!R;D2;$(S([*;!a])[*;!a]);!$(S*(=*));!$(S~[*;!#6]);!$(SC#,=*);!$(S~C~[O,N,S,P])]
Thioether ThioetherMixAcyclic ThioetherMixAcyclic [S;!R;D2;$(S([*;A])[*;a]);!$(S*(#,=*));!$(S~[*;!#6])]
Ether EtherAromaticAcyclic EtherAromaticAcyclic [O;!R;D2;$(O([*;a])[*;a])]
Ether EtherAliphaticCyclic EtherAliphaticCyclic [O;R;D2;$(O([*;!a])[*;!a]);!$(O*(=*));!$(O~[*;!#6]);!$(O~C~[O,N,S,P])]
Ether EtherAliphaticAcyclic EtherAliphaticAcyclic [O;!R;D2;$(O([*;!a])[*;!a]);!$(O*(=*));!$(O~[*;!#6]);!$(OCO);!$(OC#,=*);!$(O~C~[O,N,S,P])]
Ether EtherMixCyclic EtherMixCyclic [O;R;D2;$(O([*;A])[*;a]);!$(O*(=*));!$(O~[*;!#6])]
Ether EtherMixAcyclic EtherMixAcyclic [O;!R;D2;$(O([*;A])[*;a]);!$(O*(#,=*));!$(O~[*;!#6])]
Ketals Ketals Ketals [C;D4;$(C(O)O)]
Ketals Ketals ThioKetals [C;D4;$(C(S)S)]
Ketals Acetal Acetal [C;!D4;$(C(O)O);!$(C(=*))]
Ketals Acetal ThioAcetal [C;!D4;$(C(S)S);!$(C(=*))]
Sulfone Sulfone Sulfone [S;D4;$(S(=O)(=O)([#6])[#6]);!$(S*#,=*)]
Alkyne AlkyneTerminalAromatic AlkyneTerminalAromatic [C;$([C;D2]([a])#[C;D1])]
Alkyne AlkyneTerminalAliphatic AlkyneTerminalAliphatic [C;$([C;D2]([A])#[C;D1]);!$(C[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]
Alkyne AlkyneNonTerminalAromatic AlkyneNonTerminalAromatic [C;$([C;D2]([a])#[C;D2][a])]
Alkyne AlkyneNonTerminalAliphatic AlkyneNonTerminalAliphatic [C;$([C;D2;!$(C[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]([A])#[C;D2;!$(C[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])][A])]
Alkyne AlkyneNonTerminalMix AlkyneNonTerminalMix [C;$([C;D2]([a])#[C;D2][A;!$(C[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])])]
Sulphonamide Sulphonamide Sulphonamide0H [N;H0;$(NS(=O)(=O))]
Sulphonamide Sulphonamide Sulphonamide1H [N;H1;$(NS(=O)(=O))]
Sulphonamide Sulphonamide Sulphonamide2H [N;H2;$(NS(=O)(=O))]
Thiocarbamate Thiocarbamate Thiocarbamate [N;$(NC(=S)[O;D2]),$(NC(=O)[S;D2])]
Carbamate Carbamate Carbamate [N;!$(NC(=O)OC(C)(C)C);!$(NC(=O)OC1c2ccccc2-c3c1cccc3);$(NC(=O)[O;D2])]
Imide Imide Imide [N;$(N(C(=O)[#6])C(=O)[#6])]
TetraX TetraX TetraX [*;$([F,Cl,Br,I][C;D4]([F,Cl,Br,I])([F,Cl,Br,I])[F,Cl,Br,I])]
Phosphate PhosphoricAcid PhosphoricAcid [O;$([O;D1]P(=O));!$(OP(=O)(=O))]
Phosphate PhosphoricEster_Aliphatic PhosphoricEster_SaturatedAliphatic [O;!$(OP(=O)(=O));$([O;D2;$(OC);!$(OC=C);!$(OC#C);!$(OC#N)]P(=O))]
Phosphate PhosphoricEster_Aliphatic PhosphoricEster_UnsaturatedAliphatic [O;!$(OP(=O)(=O));$([O;D2;$(OC=C),$(OC#C),$(OC#N)]P(=O))]
Phosphate PhosphoricEster_Aromatic PhosphoricEster_Aromatic [O;!$(OP(=O)(=O));$([O;D2;$(O[c;$(c1ccccc1)])]P(=O))]
Phosphate PhosphoricEster_Heteroaromatic PhosphoricEster_Heteroaromatic [O;!$(OP(=O)(=O));$([O;D2;$(O[c;$(a1aaaaa1),$(a1aaaa1);!$(c1ccccc1)])]P(=O))]
Phosphate PhosphoricAmide_Aliphatic PhosphoricAmide_Aliphatic [N;!$(NP(=O)(=O));$(NP([O;D2])(=O));$([$([N;D1]),$([N;D2](P)C),$([N;D3](P)(C)C)])]
Phosphate PhosphoricAmide_Aromatic PhosphoricAmide_Aromatic [N;!$(NP(=O)(=O));$(NP([O;D2])(=O));$([N;D2](P)a),$([N;D3](P)(a)a)]
Phosphate PhosphoricAmide_Mix PhosphoricAmide_Mix [N;!$(NP(=O)(=O));$(NP([O;D2])(=O));$([N;D3](P)(C)a)]
Sulfinate Sulfinate Sulfinate [O;$(O[S;D3](=O)[#6,#8]);!$(O(S(=O)(=O))S(=O))]
Amide Amide Amide [N;$([N;D2]([#6])C(=O)[#6]),$([N;D3]([#6])([#6])C(=O)[#6]),$([N;D1]C(=O)[#6]);!$(N(C=O)C(=O))]
Amide Amide Pyridone_likeNH [n;R;$([n;D2]c(=O))]
Oxime Oxime Oxime [N;D2;$(N([O;D1])=C[*;a,A]);!$(N([O;D1])=C([N;D1]))]
Azide Azide Azide [N;!R;$([N;+,-]=[N;+,-]=[N;+,-]),$(N=[N;+,-]=N)]
Phenol PhenolHeteroaromatic6membered PhenolHeteroaromatic6membered [O;H1;D1;!$(Oc1ccccc1);$(Oc1aaaaa1)]
Phenol PhenolHeteroaromatic5membered PhenolHeteroaromatic5membered [O;H1;D1;!$(Oc1cccc1);$(Oc1aaaa1)]
Phenol Phenol Phenol [O;H1;D1;$(Oc1ccccc1),$(Oc1cccc1)]
Thiophenol ThiophenolHeteroaromatic6membered ThiophenolHeteroaromatic6membered [S;H1;D1;!$(Sc1ccccc1);$(Sc1aaaaa1)]
Thiophenol ThiophenolHeteroaromatic5membered ThiophenolHeteroaromatic5membered [S;H1;D1;!$(Sc1cccc1);$(Sc1aaaa1)]
Thiophenol Thiophenol Thiophenol [S;H1;D1;$(Sc1ccccc1)]
Thiol PrimaryThiolAromatic PrimaryThiolAromatic [S;H1;D1;$(S[C;D2][a])]
Thiol PrimaryThiolAliphatic PrimaryThiolAliphatic [S;H1;D1;$(S[C;D2,D1;!$(C[a])]);!$(SC=*);!$(SC#*)]
Thiol SecondaryThiolAromaticCyclic SecondaryThiolAromaticCyclic [S;H1;D1;$(S[C;R;D3]([a])[a])]
Thiol SecondaryThiolAliphaticCyclic SecondaryThiolAliphaticCyclic [S;H1;D1;$(S[C;R;D3]([A])[A])]
Thiol SecondaryThiolMixCyclic SecondaryThiolMixCyclic [S;H1;D1;$(S[C;R;D3]([a])[A])]
Thiol SecondaryThiolAromaticAcyclic SecondaryThiolAromaticAcyclic [S;H1;D1;$(S[C;!R;D3]([a])[a])]
Thiol SecondaryThiolAliphaticAcyclic SecondaryThiolAliphaticAcyclic [S;H1;D1;$(S[C;!R;D3]([A])[A])]
Thiol SecondaryThiolMixAcyclic SecondaryThiolMixAcyclic [S;H1;D1;$(S[C;!R;D3]([a])[A])]
Thiol TertiaryThiolCyclic TertiaryThiolCyclic [S;H1;D1;$(S[C;R;D4]([a,A])([a,A])[a,A])]
Thiol TertiaryThiolAcyclic TertiaryThiolAcyclic [S;H1;D1;$(S[C;!R;D4]([a,A])([a,A])[a,A])]
Alcohol PrimaryAlcoholAromatic PrimaryAlcoholAromatic [O;H1;D1;$(O[C;D2][a])]
Alcohol PrimaryAlcoholAliphatic PrimaryAlcoholAliphatic [O;H1;D1;$(O[C;D2,D1;!$(C[a])]);!$(OC=*);!$(OC#*)]
Alcohol SecondaryAlcoholAromaticCyclic SecondaryAlcoholAromaticCyclic [O;H1;D1;$(O[C;R;D3]([a])[a])]
Alcohol SecondaryAlcoholAliphaticCyclic SecondaryAlcoholAliphaticCyclic [O;H1;D1;$(O[C;R;D3]([A])[A])]
Alcohol SecondaryAlcoholMixCyclic SecondaryAlcoholMixCyclic [O;H1;D1;$(O[C;R;D3]([a])[A])]
Alcohol SecondaryAlcoholAromaticAcyclic SecondaryAlcoholAromaticAcyclic [O;H1;D1;$(O[C;!R;D3]([a])[a])]
Alcohol SecondaryAlcoholAliphaticAcyclic SecondaryAlcoholAliphaticAcyclic [O;H1;D1;$(O[C;!R;D3]([A])[A])]
Alcohol SecondaryAlcoholMixAcyclic SecondaryAlcoholMixAcyclic [O;H1;D1;$(O[C;!R;D3]([a])[A])]
Alcohol TertiaryAlcoholCyclic TertiaryAlcoholCyclic [O;H1;D1;$(O[C;R;D4]([a,A])([a,A])[a,A])]
Alcohol TertiaryAlcoholAcyclic TertiaryAlcoholAcyclic [O;H1;D1;$(O[C;!R;D4]([a,A])([a,A])[a,A])]
Amidine Amidine Amidine [N;!R;$(N([#6])=[C;$(C(~N)~N);!$(C(~N)(~N)~N)]),$([N;D1]=[C;$(C(~N)~N);!$(C(~N)(~N)~N)])]
Urea AromaticUrea AromaticUrea [N;$(N([a])C(=O)N[a])]
Urea MixUrea MixUrea [N;$([N;D1;$(NC(=O)N[*;a])]),$([N;D2,D3;$(N([*;!a])C(=O)N[*;a])])]
Urea AliphaticUrea AliphaticUrea [N;$([N;!$(N[a]);!$(N(C(=[O,S,N]))C(=[O,S,N]))]C(=O)[N;!$(N[a]);!$(N(C(=[O,S,N]))C(=[O,S,N]))])]
Urea AromaticThiourea AromaticThiourea [N;$(N([a])C(=S)N[a])]
Urea MixThiourea MixThiourea [N;$([N;D1;$(NC(=S)N[*;a])]),$([N;D2,D3;$(N([*;!a])C(=S)N[*;a])])]
Urea AliphaticUrea AliphaticThioUrea [N;$([N;!$(N[a]);!$(N(C(=[O,S,N]))C(=[O,S,N]))]C(=S)[N;!$(N[a]);!$(N(C(=[O,S,N]))C(=[O,S,N]))])]
Urea Hydantoin Hydantoin [N;$(N1C(=O)[N;D2;H]C(=O)C1)]
Phosphine AromaticPhosphine AromaticPhosphine [P;!$(P=O);$(P([a])([a])[a])]
Phosphine AliphaticPhosphine AliphaticPhosphine [P;!$(P=O);$(P(C)(C)C)]
Phosphine MixPhosphine MixPhosphine [P;!$(P=O);$(P([a])(C)[C,a])]
Phosphine AromaticPhosphineOxyde AromaticPhosphineOxyde [P;$(P=O);$(P([a])([a])[a])]
Phosphine AliphaticPhosphineOxyde AliphaticPhosphineOxyde [P;$(P=O);$(P(C)(C)C)]
Phosphine MixPhosphineOxyde MixPhosphineOxyde [P;$(P=O);$(P([a])(C)[C,a])]
Sulfinylamine SulfinylamineAromatic SulfinylamineAromatic [N;$(N[S;D3](=O)[a])]
Sulfinylamine SulfinylamineAliphatic SulfinylamineAliphatic [N;$(N[S;D3](=O)C)]
NitrogenHeterocycle Heterocycle5_1N Heterocycle5_1NH [n;D2;H1;$(n1cccc1)]
NitrogenHeterocycle Heterocycle5_1N Heterocycle5_1NC [n;D3;$(n1cccc1)]
NitrogenHeterocycle Heterocycle5_polyN Heterocycle5_polyHetNH [n;H1;$(n1aaaa1);!$(n1cccc1)]
NitrogenHeterocycle Heterocycle5_polyN Heterocycle5_polyHet [n;H0;$(n1aaaa1);!$(n1cccc1)]
NitrogenHeterocycle Heterocycle6_1N Heterocycle6_1NC [n;D3;$(n1ccccc1)]
NitrogenHeterocycle Heterocycle6_1N Heterocycle6_1N [n;D2;$(n1ccccc1)]
NitrogenHeterocycle Heterocycle6_polyN Heterocycle6_polyHetNC [n;D3;$(n1aaaaa1);!$(n1ccccc1)]
NitrogenHeterocycle Heterocycle6_polyN Heterocycle6_polyHet [n;D2;$(n1aaaaa1);!$(n1ccccc1)]
OxygenHeterocycle OxygenHeterocycle Heterocycle5_O [o;$(o1aaaa1)]
SulfurHeterocycle SulfurHeterocycle Heterocycle5_S [s;$(s1aaaa1)]
Guanidine Guanidine Guanidine [N;$(NC(~N)=N)]
Amonia Amonia Amonia [N;$([N;H3])]
Amine Benzyl_amine_primary Benzylamine_primary [N;X3;D1;$(N[C;X4][c;$(c1ccccc1)])]
Amine Benzyl_amine_primary HeteroBenzylamine_primary [N;X3;D1;$(N[C;X4][c;!$(c1ccccc1)])]
Amine Amine_Aliphatic Amine_Primary_SaturatedAliphatic [N;X3;!+;!-;!$(N[C;X4][c;$(a1aaaa1),$(a1aaaaa1)]);!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Amine Amine_Aliphatic Amine_Primary_UnsaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Amine Amine_Aromatic Amine_Primary_Phe [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_Het6 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_Het5 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_Het6Het5 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_PheHet5 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]
Amine Amine_Heteroaromatic Amine_Primary_Het5Het6 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_Het5Phe [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]
Amine Amine_Heteroaromatic Amine_Primary_Het5Het5 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]
Amine Amine_Aromatic Amine_Primary_PhePhe [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]
Amine Amine_Heteroaromatic Amine_Primary_Het6Phe [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_PheHet6 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])])]
Amine Amine_Heteroaromatic Amine_Primary_Het6Het6 [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
Amine Amine_Aliphatic Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[!$(C=C);!$(C#C);!$(C#N);!$(a)])]
Amine Amine_Aliphatic Amine_AcyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)])]
Amine Amine_Aromatic Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_AcyclicSecondary_SaturatedAliphatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
