source_reaction_type,reactive_site_1_display_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_2_display_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,yield_pct,z_score,condition_recipe_id,condition_display,temperature_c,time_h,concentration_m,atmosphere,condition_identity_uncertainty,procedure_text
CN-Coupling,Ar–I,LG|Ar|I,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,88.12,1.14,RCR1:3bdd3d7f57b2fa94c9059e315024d47204ec48a9242b76ff92d0434339ace553,CuI [catalyst]; BFMO [ligand]; Cs2CO3 [base]; CPME [solvent],,,,,false,"3 h at 80 °C, then 17 h at 110 °C"
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Br,LG|Ar|Br,,,,0,-0.46,RCR1:89e70e6cdf9bbb8710ed31dc95d44bb4b79e080fc329dc7dfeb18346e2ddf096,AlPhosPd G6 Br [catalyst]; AlPhos [ligand]; KOH [base]; Dioxane [solvent]; water [solvent],,,,,true,
CN-Coupling,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–I,LG|Ar|I,,,,23.87,-0.79,RCR1:5e067c735dca4f65892d5b103e3604a98850f68e4b777c177ec3f85ceb185e3e,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; Cs2CO3 [base]; CPME [solvent],80,3,,,true,3 h at 80 °C
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Cl,LG|Ar|Cl,,,,74.84,0.36,RCR1:e779dc9a8d38d1705781ef11623eb258633d2e1cdf612c41ead47991c9ba0c7e,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; TMSOK [base]; xylenes [solvent],,,,,true,"2 h at 45 °C, then 18 h at 80 °C"
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Cl,LG|Ar|Cl,,,,2.59,-0.67,RCR1:c3ec340927732146db098a49592e36fff1aab7a9ae1c320d79e6922366999a66,JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; KOH [base]; MeCN [solvent],80,16,,,true,16 h at 80 °C
CN-Coupling,Ar–I,LG|Ar|I,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,13.47,0.03,RCR1:b4337d5d8b39128b6b8348a25db17dd81200f6f507f52fe152e1eb1d59eb5d0f,RuPhos Pd(crotyl)Cl [catalyst]; RuPhos [ligand]; Cs2CO3 [base]; DMF [solvent],80,4,,,true,4 h at 80 °C
CN-Coupling,Ar–I,LG|Ar|I,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,0,-0.62,RCR1:3b9f2efd20e68baf8240985bd3d65f96dc17c4eed73d545ba0247406f4e880ad,JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; Cs2CO3 [base]; DMSO [solvent]; LiI [additive],,,,,true,
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,33.72,1.28,RCR1:ec782b5f203f38b517706fb12c70085f0bf098ee3fb687e4b1f646cab0a59b8c,dppf Pd G3 [catalyst]; dppf [ligand]; TMSOK [base]; MeCN [solvent],,,,,true,"7 h at 60 °C, then 14.5 h at 80 °C"
Amide coupling,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,33.6,0.66,RCR1:4b35414e6564b51d52a77e625a08200379b2021a54320c2e10cb6e1c9d20aeee,No ligand; DIPEA [base]; MeCN [solvent]; pyBOP [coupling_reagent],40,18,,,false,18 h at 40 °C
Amide coupling,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,6.91,-0.91,RCR1:612c18ff5633bc47e51296d5ffe12ec5eae2670c614929566b1e38e28fb0c2de,No ligand; NMM [base]; acetone [solvent]; T3P [coupling_reagent],,,,,true,"2 h at 25 °C, then 21 h at 50 °C"
Amide coupling,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,4.88,-0.41,RCR1:9170141e33f0305b22e6535e59dd96db16821c2df8e13e7e587a0ea3d1fbd412,No ligand; DIPEA [base]; MeCN [solvent]; pyBOP [coupling_reagent],40,2,,,false,2 h at 40 °C
Amide coupling,Ar–NH₂,XH|N|H2|Ar,primary,,,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,94.15,1.08,RCR1:8fd016140cd636b140f6292c2aec5428cb0bdc9877ced73b82d1545957f0fb0f,No ligand; DIPEA [base]; MeCN [solvent]; HATU [coupling_reagent],,,,,false,"2 h at 0 °C, then 23 h at 50 °C"
Amide coupling,Ar–NH₂,XH|N|H2|Ar,primary,,,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,54.21,-0.19,RCR1:89e53d18ee3cf184e5aa4bb22842a8c4effb8ab0c2624b4c0bb70d8e5b0cc3a3,No ligand; DMAc [solvent]; CDI [coupling_reagent],50,37,,,false,37 h at 50 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Urea,,,,,0,-0.49,RCR1:c9412dc04b26a71a6d4a30043e44fcd77a90ca002ef026ddc17db157958032bb,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand],,,,,true,
CO-Coupling,Ar–Br,LG|Ar|Br,,,,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,3.35,0.01,RCR1:c9b014fb0aad60f049624d07f76378ddb07e684606196fbd419c618b777e2abd,RuPhos Pd(crotyl)Cl [catalyst]; RuPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],,,,,true,"3 h at 80 °C, then 19 h at 120 °C"
CN-Coupling,Ar–Br,LG|Ar|Br,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,13.75,0.17,RCR1:41da73cd73dbce406a8dcee9557e49366b1153b4dc714cbad962dc9f66278679,QPhos Pd(crotyl)Cl [catalyst]; QPhos [ligand]; NaBHT [base]; anisole [solvent],80,2,,,true,2 h at 80 °C
Condensation,RCHO,,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,0,-0.28,RCR1:21ca21e3787e9d4724e2857c5816f281d28f4ff859759a109ca3ecdc29608d49,No ligand; MeCN [solvent]; DIC [coupling_reagent],,,,,false,
Condensation,RCHO,,,,,R¹R²–NH (≥1 α-C branched),"XH|N|H1|Alkyl,Alkyl",secondary,,true,0,-0.78,RCR1:21ca21e3787e9d4724e2857c5816f281d28f4ff859759a109ca3ecdc29608d49,No ligand; MeCN [solvent]; DIC [coupling_reagent],,,,,false,
Condensation,RCHO,,,,,R¹R²–NH (≥1 α-C branched),"XH|N|H1|Alkyl,Alkyl",secondary,,true,13.61,0.22,RCR1:1ea6ad19818c5021d3fe9f7d966b9b0f68412f34a1057f8b450d8feed5ae87d6,No ligand; MeCN [solvent]; HFIP [additive]; PyClOP [coupling_reagent],0,2,,,false,2 h at 0 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,2.16,-0.89,RCR1:2146ccde751285c5c899f7676d218b1fa6dbfbfe57b18e4c080fd8dc6fb8eca7,QPhos Pd(crotyl)Cl [catalyst]; QPhos [ligand]; NaOtBu [base]; Dioxane [solvent],,,,,true,"2 h at 60 °C, then 19 h at 80 °C"
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,46.11,-0.23,RCR1:b507e0b1a17b13124c9afbe692abfa2c06f7ef51b9188e32bbac670b2727c552,JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; KOH [base]; MeCN [solvent],60,2.5,,,true,2.5 h at 60 °C
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,0.54,-0.42,RCR1:f5fe3563e0cef681792075673b80b2a8340519ef72da39d411d3365a85d5d11c,cBridP Pd(allyl)Cl [catalyst]; cBridP [ligand]; KOH [base]; PhMe [solvent]; water [solvent],80,20.5,,,true,20.5 h at 80 °C
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,0,-0.47,RCR1:3dda16f184eede96bf2df5584add44a035fcd67fbde923cbd6a5d89a6cadc138,dppf Pd G3 [catalyst]; dppf [ligand]; KOH [base]; PhMe [solvent]; water [solvent],,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,2.1,-0.39,RCR1:c93e1a0d4de61540773187400d624e74b4d07673d3f381c45d2fa83ef647b472,cBridP Pd(allyl)Cl [catalyst]; cBridP [ligand]; KOH [base]; PhMe [solvent]; water [solvent],80,20,,,true,20 h at 80 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,0,-0.5,RCR1:f4b5325cfc81ec24abd3502cbb623399e1e6db2fd44d13657f76aa3a2cf002c3,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; KHMDS [base]; PhMe [solvent],,,,,true,
Suzuki-Miyaura,Ar–I,LG|Ar|I,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,0,-0.69,RCR1:5d1e21439df9b2aab445e91159f48f86ef3ecc30df01deabb001995b52391e12,tBuXPhos Pd G3 [catalyst]; tBuXPhos [ligand]; TMSOK [base]; MeTHF [solvent],,,,,false,
Negishi,Ar–Br,LG|Ar|Br,,,,Alkyl-M,,,,,11.87,0.2,RCR1:013004e691ce9af65e25e43c4b66095c11bdcd5e74f521e8e2992516c66e8ead,P(tBu)2Ph)2PdCl2 [catalyst]; P(tBu)2Ph [ligand]; DMF [solvent],25,24,,,true,24 h at 25 °C
Negishi,Ar–Br,LG|Ar|Br,,,,Alkyl-M,,,,,15.35,0.46,RCR1:da0bae1ba9df0441563e906f239a17079b961d72638bf15ba93e6559842fe7d5,(R)-BINAP Pd(allyl)Cl [catalyst]; BINAP [ligand]; MeTHF [solvent],,,,,true,"3 h at 40 °C, then 15 h at 50 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,0.7,-2.39,RCR1:5b4331d5a32452e2136ca43a547bbf3b25a076c7601aa1c3f8f338b1e3a34097,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; Na2CO3 [base]; iPrOAc [solvent]; water [solvent],60,4,,,true,4 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,0.28,-0.48,RCR1:3e8692f19f565afe14a7992d21815492ec8637dda4faa84726b5a05a4d60fb7a,N-XantPhos Pd G3 [catalyst]; N-XantPhos [ligand]; K3PO4 [base]; Dioxane [solvent]; water [solvent],80,22,,,true,22 h at 80 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.25,RCR1:bba5aee62b5b08b997ff43b044eb3854270a6605026aa06b572af8d9eef8337a,XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; Cs2CO3 [base]; tAmOH [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,23.1,0.52,RCR1:9af6022581dbc3992e0d2927baadd3d4d951d573a58ceaa6990db9cb87fedab5,BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; KHMDS [base]; Dioxane [solvent],80,3,,,true,3 h at 80 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,3.32,0.1,RCR1:5727daec51bac2b6a9ce23c9d52ac69299d521a146adc7ad3d1a9154861f051f,GPhos Pd G6 TES [catalyst]; GPhos [ligand]; LiHMDS [base]; PhMe [solvent],,,,,true,"3.5 h at 80 °C, then 15 h at 100 °C"
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Br,LG|Ar|Br,,,,0,-0.42,RCR1:c4c42b393fc91d0563f8bcef9f1699981a1a444c420350e4433b66e1cee84c66,BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; KHMDS [base]; Dioxane [solvent],,,,,true,
Stetter,alkene,PI|Alkene,,,,RCHO,,,,,27.89,0.01,RCR1:e776169fd2472c34b06798dcd556da36c420a85bd17bdfacc84c4579a396c3d4,Rovis-NHC*HBF4 [catalyst]; No ligand; DBU [base]; MeOH [solvent],,,,,true,"2.5 h at 40 °C, then 19.5 h at 60 °C"
Stetter,alkene,PI|Alkene,,,,RCHO,,,,,64.41,1.62,RCR1:11e3adbcde2f9e0498d05ea9e1966c31f7c3fdc32c1c788e4adf99f948c2f292,thiazolium-NHC*HCl [catalyst]; No ligand; NEt3 [base]; Dioxane [solvent]; LiCl [additive],60,93,,,true,93 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,0,-0.59,RCR1:ffc7d1137672c56c5e61ecb781453a16ea574ec50e9a37d78714e7db12663884,Cu(MeCN)4BF4 [catalyst]; 44′-Dimethoxy-22′-bipyridyl [ligand]; KOH [base]; tAmOH [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,6.71,0.15,RCR1:0696bf0ca2d4fac624cb39689ba58353f5123fef821eec8d8c6e5754a595baaa,CuI [catalyst]; DMPAO [ligand]; Cs2CO3 [base]; MeCN [solvent],80,20,,,false,20 h at 80 °C
Suzuki-Miyaura,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,Ar–Br,LG|Ar|Br,,,,15.11,-0.11,RCR1:00a45e6d6cdebadfd897a3b4588048bd8c4b3b051ab727579715c631db93e5bd,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; DIPEA [base]; BuOH [solvent],,,,,true,"3 h at 60 °C, then 19 h at 80 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,12.51,-0.25,RCR1:8fcc85b07bb3b4e8fdf31119f5b9599c7a50db07d8405c047bd58f95919535d3,XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; Potassium 2-ethylhexanoate [additive],60,3,,,true,3 h at 60 °C
Suzuki-Miyaura,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,Ar–Br,LG|Ar|Br,,,,59.22,1.33,RCR1:a10a25da9894daa6074c0e1fc29a286fa4854bc4c35988c712ae13108745de98,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; K3PO4 [base]; tAmOH [solvent]; water [solvent],20,26,,,true,26 h at 20 °C
Suzuki-Miyaura,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,Ar–Br,LG|Ar|Br,,,,57.94,1.28,RCR1:597135d9b782515cb30ce78cebf35519c90b4742d300be051f766c2c9f3ead11,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; KOH [base]; iPrOAc [solvent]; water [solvent],,,,,true,"3.5 h at 0 °C, then 19.5 h at 20 °C"
Amide coupling,R–NH₂,XH|N|H2|Alkyl,primary,,,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,8.48,-0.61,RCR1:b783791d56fd8821fb2dd192b343fbb84f44e55f6ef764c0647b8c452a05d7c2,No ligand; NMM [base]; MeCN [solvent]; BSTFA [additive]; COMU [coupling_reagent],45,2,,,true,2 h at 45 °C
Amide coupling,R–NH₂,XH|N|H2|Alkyl,primary,,,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,9.13,-0.58,RCR1:08fdffe20972a7e0ac9380dbb152aee9c911d39ac36d19add0995b1db577eb29,No ligand; NMM [base]; MeCN [solvent]; BSA [additive]; PyCIU [coupling_reagent],,,,,true,"66 h at 25 °C, then 0 h at 45 °C, then 62 h at 25 °C"
Amide coupling,R–NH₂,XH|N|H2|Alkyl,primary,,,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,2.35,-0.82,RCR1:23fb7333d604bd49657c57c16cbe263a6a498832da63acfcd3156c91d41481ed,"No ligand; DIPEA [base]; MeCN [solvent]; PhMe [solvent]; BSA, OxymaPure [additive]; COMU [coupling_reagent]",25,17,,,true,17 h at 25 °C
Suzuki-Miyaura,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,Ar–Cl,LG|Ar|Cl,,,,4.77,-0.77,RCR1:84fdd203c38d5cb1c476078d2e3dd1afd76f5724d7f8e384f932de8f5ab113d5,(DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; DIPEA [base]; BuOH [solvent],80,3,,,true,3 h at 80 °C
Suzuki-Miyaura,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,Ar–Cl,LG|Ar|Cl,,,,21.97,-0.3,RCR1:b5fb4782935a2227d3096af60de5e9aaf96cc230dcb189186ac30410cc756a9f,dtbpfPdCl2 [catalyst]; dtbpf [ligand]; K3PO4 [base]; iPrOH [solvent]; water [solvent]; water [additive],,,,,true,"2.5 h at 60 °C, then 29.5 h at 80 °C"
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–I,LG|Ar|I,,,,0,-0.41,RCR1:3464748b1c0d25c30ab0b0f04e2b6a21a737c33c45347221957c0c6287f25b27,CuI [catalyst]; DMPAO [ligand]; Cs2CO3 [base]; MeCN [solvent],,,,,false,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Lactam,,,,,0,-0.2,RCR1:b031b9f925c69926b4fcaf0a189a49ffd629a610ef3d44f49827f6d927874ad2,XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; Cs2CO3 [base]; DMI [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Lactam,,,,,0,-0.2,RCR1:468f02d8ec61cd5574ef189f52cbdb4c46bef1e52ac8bdd28c0357646e0801a2,"Cu(MeCN)4BF4 [catalyst]; N,N-Dimethylglycine [ligand]; Cs2CO3 [base]; Dioxane [solvent]",,,,,true,
Buchwald-Hartwig,R–C(O)–NHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,0,-0.85,RCR1:8398e89b6f5c16f84aa1c14f3ad9b240a9f1ff63ace4bdada2812766530dcbf5,(DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; Cs2CO3 [base]; DMSO [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–C(O)–NHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,0,-0.52,RCR1:c34f95035f05c773f49062ec4e78039eb48722d8b49ad5f9a758ba271974a5c8,(DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; Cs2CO3 [base]; PhMe [solvent]; BSA [additive],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–C(O)–NHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,0,-0.45,RCR1:8398e89b6f5c16f84aa1c14f3ad9b240a9f1ff63ace4bdada2812766530dcbf5,(DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; Cs2CO3 [base]; DMSO [solvent],,,,,true,
Buchwald-Hartwig,Lactam,,,,,Ar–Br,LG|Ar|Br,,,,11.15,-0.77,RCR1:7aae765db065b724c32effc5b5fb840807dba40f05b2ac36f7801a2a308f1b45,(DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; Cs2CO3 [base]; DMSO [solvent],,,,,true,"3.5 h at 80 °C, then 9.5 h at 100 °C"
Sonogashira,terminal alkyne,XH|Csp|H1|Alkynyl,,,,Ar–Br,LG|Ar|Br,,,,1.98,-0.3,RCR1:45a627384bfcc6c70b28ec3787612b089f86cf15d7d7bfd27c60e5538074ccd0,"Cu(MeCN)4BF4, tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; NEt3 [base]; DMF [solvent]",,,,,true,"2 h at 50 °C, then 18 h at 70 °C"
CN-Coupling,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,36.65,0.94,RCR1:2d0843525d5ea22bfd6e40174ad26cb7b941b7e149eb5487a2d1730d9babb464,CuI [catalyst]; bpy [ligand]; Na2CO3 [base]; tAmOH [solvent],,,,,true,"3 h at 50 °C, then 17 h at 80 °C"
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,11.32,0.05,RCR1:6d85938a59d047df4b56aa28d8a701ae2aa6a169dd1df65721a679e1a7e8eb6f,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; K3PO4 [base]; tAmOH [solvent]; water [solvent],80,20,,,true,20 h at 80 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,34.07,1.44,RCR1:5af1ae1f202afd2c0afe5d9f79943cfbafd96a86e177ea714619a4db80972966,AlphosPd)2cod [catalyst]; AlPhos [ligand]; DBU [base]; DMSO [solvent],120,30,,,true,30 h at 120 °C
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,20.38,0.07,RCR1:bb9a1c3ffe2c57a35d512077db57672e45e6d5d6ec6f44b92cd2adc7cb6ec045,CuI [catalyst]; DMPAO [ligand]; K2CO3 [base]; DMSO [solvent],,,,,false,"2.5 h at 70 °C, then 3.5 h at 100 °C"
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,0,-0.65,RCR1:e42f9a3a07f1a3ed95157b0cb7b492556bb4f0f49ab51da3a8b070f9f2ad9864,JackiePhos Pd G3 [catalyst]; JackiePhos [ligand]; KOH [base]; tAmOH [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.37,RCR1:6792cd6e140b5c97e17eb7e140e57c3fb348ec97151f483a3b7796f7723bdab7,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; Cs2CO3 [base]; tAmOH [solvent],,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,45.84,0.81,RCR1:88c4ed6f098f15c84a544f9c13830f20045d5babf4ce4dac00c1eba005caaca4,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; KOH [base]; THF [solvent]; water [solvent],,,,,true,"3 h at 50 °C, then 19 h at 80 °C"
Stetter,RCHO,,,,,alkene,PI|Alkene,,,,5.4,-0.74,RCR1:d6a9de687210e90560839ca8d23df2311df69d634c630615643caad184387988,thiazolium-NHC*HCl [catalyst]; No ligand; TMP [base]; anisole [solvent],60,25,,,true,25 h at 60 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,8.11,-0.48,RCR1:fec07b5c27622c44b7289c3a491f3cd55055d8d2947ea47f6dbc25dd68448182,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; NaHCO3 [base]; PhMe [solvent]; water [solvent],,,,,true,"2 h at 50 °C, then 3 h at 80 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,11.22,-0.34,RCR1:8624bcf2d9163ee17094b9fd2376b1639bb1b28afbc175fcd874adc94cf2c080,dppfPdCl2 [catalyst]; dppf [ligand]; NEt3 [base]; MeCN [solvent],,,,,true,"4.5 h at 50 °C, then 16.5 h at 80 °C"
Suzuki-Miyaura,Ar–I,LG|Ar|I,,,,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,43.68,-0.2,RCR1:90ecde1f0c90134454591cd3c4b3e6d3c28c987be6032531bf65578ee9b5aa71,dppdtbpf)PdCl2 [catalyst]; dppdtbpf [ligand]; KOH [base]; Dioxane [solvent]; Brij 35 [additive],,,,,true,"3.5 h at 60 °C, then 14.5 h at 80 °C"
CC-Coupling,R–C(O)OR,EC|Acyl|Alkyl|OR|ester,,,,Ar–I,LG|Ar|I,,,,7.25,-0.54,RCR1:a86370aad1237a8d3f5b67cd543424295597986483cd41e520326b1e9fe289c1,NiBr2-glyme [catalyst]; tBubpyCAMCN [ligand]; MeTHF [solvent],25,21.5,,,true,21.5 h at 25 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,0,-0.23,RCR1:ca54b736a50a457fef68f4a6db65069bb10a0e29515bab49d0bb8b02b66ab17d,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; NaOtBu [base]; Dioxane [solvent],,,,,true,
CC-Coupling,Ar–Br,LG|Ar|Br,,,,R–C(O)OR,EC|Acyl|Alkyl|OR|ester,,,,31.19,0.27,RCR1:49f93deeff8714a108938168077bcf672f17f69e49764d6e29718e8b36cc8e48,Ni(OAc)2 [catalyst]; dtbpy [ligand]; DMAc [solvent],25,27,,,true,27 h at 25 °C
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,20.16,-0.3,RCR1:9b51735786da8655e5eb6b51372c0471393026303f675a5ef49b1ac9ea67c998,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; KOH [base]; MeTHF [solvent],,,,,true,"5 h at 40 °C, then 17 h at 60 °C"
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,47.47,0.56,RCR1:3c7c22e4f484faae794b5fb67b6755d8954b5a192b9b17ffb444f0357c67a934,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; KOH [base]; MeTHF [solvent]; water [solvent],,,,,true,"4 h at 30 °C, then 65 h at 50 °C"
Cyclization,alkyne,PI|Alkyne,,,,Ar–Br,LG|Ar|Br,,,,0,-0.33,RCR1:b324ac99478c4eb4521f25a505ca6f692c7a77c887a2dd799d872af1a7091a2b,"Cu(MeCN)4BF4, dppf Pd G3 [catalyst]; dppf [ligand]; Cs2CO3 [base]; NMP [solvent]; AgOTf [additive]",,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,31.46,0.08,RCR1:d4c3f58ee10b8c0a1744493121ba718bceabf62155eb9ad0c85342e2ab71a965,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; NaHCO3 [base]; nBuOAc [solvent]; water [solvent],,,,,true,"4 h at 60 °C, then 2 h at 80 °C"
