name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,role_1_original,qc_flags
Polyethylene glycol dimesylate,,52410-74-9,CS(=O)(=O)OCCOS(C)(=O)=O,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Amberlite,,52439-77-7,,,liquid,1.0,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
Molecular sieves Type 13X,,63231-69-6,[Al+3].[Al+3].[Si+4],Na86[AlO2)86(SiO2)106] . XH21,liquid,,,,600.0,0.0,0.0,other_reagent,,,,,,,formula_suspect;type_mp_inconsistent
agarose,,62610-50-8,,C24H38O19,liquid,,630.5471,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"DIPHENYLSILOXANE-DIMETHYLSILOXANE COPOLYMER, 100cs ",,68083-14-7,CO[Si](C)(C)O[Si](C)(c1ccccc1)c1ccccc1,,liquid,0.96,,205.0,,0.0,0.0,organic_compound,,,,,,,formula_missing
"[1,1'-Bis(diphenylphosphino)ferrocene]dichloronickel(II)",,67292-34-6,,C34H28Cl2FeNiP2,powder,,683.978,,285.0,0.0,0.0,metal_catalyst,,,,,,,smiles_missing
Lithium chloride/potassium chloride eutectic,,65567-96-6,,Cl2KLi,powder,,116.945,,357.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
"3,3',5,5-Tetramethylbenzidine dihydrochloride",,64285-73-0,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,C16H22Cl2N2,liquid,,313.265,368.6,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"Kerosene, Low Odor",,64742-47-8,,,liquid,0.79,,175.0,-58.0,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
"POLYETHYLENE, CHLORINATED",,64754-90-1,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
titanium(IV) n-butoxide/isopropoxide,,68955-22-6,CC(C)O.CCCCO.[Ti],C7H18O2Ti,liquid,,0.0,117.7,,0.0,0.0,metal_catalyst,,,,,,,mw_zero
"dipotassium bis(nitrito-N)[sulphato(2-)-O,O']palladate(2-)",,67859-45-4,O=NO.O=NO.[Pd],,liquid,,0.0,,,0.0,0.0,metal_catalyst,,,,,,,formula_missing;mw_zero
van dyke brown,,72669-22-8,,,liquid,,0.0,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing;mw_zero
L-PHENYLALANINE DEHYDROGENASE,,69403-12-9,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
calcium iodide hydrate,,71626-98-7,,CaH2I2O,liquid,2.55,311.902,,,0.0,0.0,organic_compound,,,,,,,smiles_missing;density_outlier_for_liquid
Mercury(II) perchlorate trihydrate,,73491-34-6,[Hg+2].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],Cl2H6HgO11,liquid,4.0,453.54,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
"4,4'-Bipiperidyl dihydrochloride",,78619-84-8,C1CC(C2CCNCC2)CCN1,C10H22Cl2N2,liquid,,241.201,278.6,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Lithium iodide hydrate,,85017-80-7,,H2ILiO,liquid,,151.861,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
lithium(1+) ion hydrate bromide,,85017-82-9,,BrH2LiO,powder,,104.86,,162.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
1-[(4-Ethylphenyl)ethynyl]-4-(trans-4-propylcyclohexyl)benzene,,107949-21-3,CCCC1CCC(c2ccc(C#Cc3ccc(CC)cc3)cc2)CC1,,liquid,1.01,330.51,,,0.0,0.0,organic_compound,,,,,,,formula_missing
calcium acetate hydrate,,114460-21-8,,C4H8CaO5,liquid,,176.181,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Coal tar,,8007-45-2,CC(C)(C)c1cc(C=NC2CCCCC2N=Cc2cc(C(C)(C)C)cc(-c3ccccn3)c2O)c(O)c(-c2ccccn2)c1.[Cu],,liquid,,0.0,,,0.0,0.0,metal_catalyst,,,,,,,formula_missing;mw_zero
"8-fluoro-7,12-dimethyltetraphene",,2023600,,C20H15F,liquid,1.2,274.3315,466.4,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
canada balsam,,8007-47-4,C=CC=C(C=CC)C(CN1CCC(C(Cc2ccc3ccccc3c2)NC(C)=O)NC(CCCN=C(N)N)C1=O)C(C=C)=CC=CC,n.a.,liquid,0.99,0.0,,,0.0,0.0,organic_compound,,,,,,,mw_zero
4-AMINO-N-MESITYLBENZAMIDE,,790544,NC1=CC=C(C(=O)NC2=C(C)C(=CC(=C2)C)C)C=C1,C16H18N2O,liquid,,254.3269,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
"1,4-Naphthalenedicarboxylic acid",,605-70-9,O=C(O)c1ccc(C(=O)O)c2ccccc12,C12H8O4,liquid,1.454,216.1895,490.2,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Ammonium-d4 deuteroxide,,12168-30-8,[N(D)4+].[OD-],H5NO,liquid,,40.0766,,,0.0,0.0,other_reagent,,,,,,,smiles_invalid
"1,2-Diiodotetrafluoroethane",,354-65-4,FC(F)(I)C(F)(F)I,C2F4I2,liquid,2.629,353.824,112.0,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
methyl linoleate,,112-63-0,CCCCCC=CCC=CCCCCCCCC(=O)OC,C19H34O2,liquid,0.884,294.4721,373.3,35.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
S-[2-(benzylamino)ethyl] hydrogen sulfurothioate,,949969,,C9H13NO3S2,liquid,1.373,247.334,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"4-(methylsulfanyl)-6-phenyl-1,3,5-triazin-2(1H)-one",,1917434,O=C1NC(=Nc2ccccc2)SC(=N1)C,C10H9N3OS,liquid,1.35,219.263,497.0,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
6-Methoxy-2-naphthaleneboronic acid,,156641-98-4,COc1ccc2cc(B(O)O)ccc2c1,C11H11BO3,liquid,1.2,202.014,423.2,295.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Phosphotungstic acid,,12501-23-4,[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6].[W+6],H5O41PW12,liquid,,2898.07,,95.0,0.0,0.0,metal_catalyst,,,,,,,type_mp_inconsistent
lanthanum(III) sulfate hydrate,,57804-25-8,[La+3].[La+3],H16La2O20S3,liquid,2.821,710.121,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
"Oxynitrox(R) S100, free radical, 99+% (Avge MW ca 2250)",,91993-31-6,Cc1nc(NC(C)(C)CC(C)(C)C)nc(N(CCCCCCN(C)C2CC(C)(C)N([O])C(C)(C)C2)C2CC(C)(C)N([O])C(C)(C)C2)n1,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Murexide,,3051-09-0,O=C1NC(=O)C(=Nc2c(O)[nH]c(=O)[nH]c2=O)C(=O)N1,C8H8N6O6,liquid,,284.1857,523.2,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
calcium nitrate hydrate,,35054-52-5,,CaH2N2O7,powder,,182.103,,45.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
D-(-)-Tartaric acid,,147-71-7,,C4H6O6,powder,,150.0868,399.3,166.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
Mineral oil,,8020-83-5,CCCCCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,,liquid,,0.0,,,0.0,0.0,organic_compound,,,,,,,formula_missing;mw_zero
Tetrabromohydroquinone,,2641-89-6,Oc1c(Br)c(Br)c(O)c(Br)c1Br,C6H2Br4O2,liquid,2.818,425.695,304.4,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"Mono(N,N,N-trimethylbenzenaminium) tribromide",,4207-56-1,C[N+](C)(C)C1=CC=CC=C1.Br[Br-]Br,C9H14Br3N,powder,,375.926,,113.0,0.0,0.0,organic_compound,,,,,,,smiles_invalid
Calcium chloride dihydrate,,10035-04-8,,CaCl2H4O2,powder,0.835,147.015,,175.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
D-(+)-Malic acid,Malic acid,636-61-3,O=C(O)CC(O)C(=O)O,C4H6O5,powder,1.2,134.0874,306.4,98.0,0.0,0.0,organic_compound,,,,,,,abbreviation_duplicate
Lithium hydroxide monohydrate,,1310-66-3,,H3LiO2,powder,1.51,41.964,920.0,462.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Sodium dihydngen phoshate,,7558-80-7,,H2NaO4P,liquid,,119.977,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
Calcium Dihydrogen Phosphate Hydrate,,301524-28-7,,CaH6O9P2,liquid,,252.068,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
calcium thioglycolate trihydrate,,814713,,C4H6CaO4S2,liquid,,222.296,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"anthra[2,3-j]heptaphene",,222-75-3,,C42H24,liquid,1.333,528.64,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Fluorotribromomethane,,353-54-8,FC(Br)(Br)Br,CBr3F,liquid,3.005,270.721,103.6,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Calcium oxide,,1305-78-8,,CaO,powder,3.3,56.077,2850.0,2570.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Methyl Nicotinate,,93603,,C7H7NO2,powder,,137.136,280.4,38.0,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
2-Iodoadenosine,,35109-88-7,Nc1nc(I)nc2c1ncn2C1OC(CO)C(O)C1O,C10H12IN5O4,liquid,2.69,393.1379,776.3,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Thionyl bromide,,507-16-4,[O-][S+](Br)Br,Br2OS,liquid,3.227,207.872,146.9,-52.0,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
D-tert-Leucine,,26782-71-8,CC(C)(C)C(N)C(=O)O,C6H13NO2,liquid,1.038,131.1729,217.7,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
(E)-(4-fluorophenyl)(phenyl)diazene,,1545832,,C12H9FN2,liquid,1.1,200.2117,304.1,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"1,1,2-Trichloro-3,3,3-trifluoropropene",,431-52-7,FC(F)(F)C(Cl)=C(Cl)Cl,C3Cl3F3,liquid,88.0,199.386,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"(1S,2S,4S,7S,10R,11S,14S,15S)-2,15-dimethyl-5-oxo-4-(trifluoroacetyl)tetracyclo[8.7.0.02,?.011,1?]heptadecan-14-yl acetate",,1880366,CC1(C)[C@H]2[C@@H](C[C@H](C[C@@H](C[C@H](C(=O)OC[C@@H]2C(=O)C(F)(F)F)C1)C)O)C,C23H31F3O4,liquid,1.23,428.485,466.1,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
sodium nitrate,,7631-99-4,,NNaO3,powder,2.26,84.9947,380.0,306.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
sodium hydroxide monohydrate,,12179-02-1,,H3NaO2,liquid,,58.0124,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
Potassium phosphate dibasic trihydrate,,16788-57-1,,H7K2O7P,liquid,,228.2217,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
ditrifluoromethyl ethylphosphonate,,650166,CCOP(=O)(OC(C(F)(F)F)C(C(F)(F)F))O,C6H9F6O3P,liquid,1.389,274.098,184.9,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
"2,2'-Biisonicotinic acid",,6813-38-3,O=C(O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,C12H8N2O4,liquid,,244.2029,677.0,310.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
5-nitrouracil,,611-08-5,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,C4H3N3O4,liquid,1.7,157.0843,453.3,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Sodium tartrate dibasic dihydrate,,6106-24-7,[Na+].[Na+].C(C(C(C(=O)[O-])O)O)C(=O)[O-]).O.O,C4H8Na2O8,liquid,,230.0811,,,0.0,0.0,organic_compound,,,,,,,smiles_invalid
methyl dichlorophosphite,,3279-26-3,COP(Cl)Cl,CH3Cl2OP,liquid,,132.914,89.4,91.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Potassium tartrate dibasic hemihydrate,,6100-19-2,,C4H6K2O7,liquid,,244.2828,399.3,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"3',3'',5',5''-Tetraiodophenolsulfonphthalein",,4430-24-4,O=S1(=O)OC(c2cc(I)c(O)c(I)c2)(c2cc(I)c(O)c(I)c2)c2ccccc21,C19H10I4O5S,liquid,2.73,857.963,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Diethyl acetylmalonate,,570089,,C9H14O5,liquid,,202.2045,372.3,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
ethyl (ethoxymethylene)cyanoacetate,,34457,,C8H11NO3,liquid,1.153,169.1778,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
saponin,,8047-15-2,CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,C27H42O3,liquid,,0.0,,,0.0,0.0,organic_compound,,,,,,,mw_zero
Lithium phosphate,,10377-52-3,[Li+].[Li+].[Li+].P(=O)(O-)(O-)(O-),Li3O4P,powder,,115.794,158.0,1205.0,0.0,0.0,other_reagent,,,,,,,smiles_invalid
"N-(2,4-dichlorophenyl)-2-methoxybenzamide",,331435-43-9,COc1ccccc1C(=O)Nc1ccc(Cl)cc1Cl,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Nickel(II) Fluoride,,10028-18-9,[F-].[F-].[Ni+2],F2Ni,liquid,4.72,96.6902,19.5,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Manganese carbonate,,598-62-9,O=C([O-])[O-].[Mn+2],CMnO3,liquid,3.125,114.9469,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
"dipotassium 3,6,10,13-tetraoxo-2,7,9,14,15,16,17,18-octaoxa-1,8-distibapentacyclo[10.2.1.11,?.1?,?.1?,11]octadecane-1,8-diuide hydrate",,331753-56-1,[Sb+3],C8H6K2O13Sb2,liquid,2.607,631.84,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
"isoquinoline-5,8-dione",,50465,O=C1c2ccccn2C(=O)C1,C9H5NO2,liquid,1.374,159.1415,333.6,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_invalid
AMBERLITE(R) IRA-67,,9056-59-1,C=CC(=O)NCCCN(C)C.C=CCCOC=COC=COCCC=C.C=Cc1ccccc1C=C,,liquid,1.0,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
ligroin,,8032-32-4,CN(C(=O)C(F)(F)F)[Si](C)(C)C,,liquid,0.64,0.0,35.0,-40.0,0.0,0.0,organic_compound,,,,,,,formula_missing;mw_zero
Sodium phosphate tribasic dodecahydrate,,10101-89-0,,H24Na3O16P,powder,1.62,380.124,,75.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
dilithium(1+) ion hydrate tartrate,,6108-32-3,,C4H6Li2O7,liquid,,179.968,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Sodium sulfite,,7757-83-7,O=S([O-])[O-],Na2O3S,liquid,2.633,126.043,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
"2,3,5-Tribromothiophene",,3141-24-0,Brc1cc(Br)c(Br)s1,C4HBr3S,liquid,2.516,320.828,260.0,25.0,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"2,2-Diethyl-1,3-propanediol",,115760,OCC(C(CC)(CC))CO,C7H16O2,powder,0.95,132.2007,240.5,59.0,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Lithium sulfate monohydrate,,10102-25-7,,H2Li2O5S,powder,,127.96,,860.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
"5-(1-methylpropyl)-5-prop-2-en-1-yl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione",,2095581,O=C1NC(=O)N(C(=S)C1(CCC(C))C=CC),C11H16N2O2S,liquid,1.18,240.322,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Lithium amide,,7782-89-0,,H2LiN,powder,1.178,22.964,430.0,373.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
potassium nitrate,,7757-79-1,,KNO3,powder,2.109,101.1032,83.0,334.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Potassium tetraoxalate dihydrate,,6100-20-5,,C8H4K8O18,liquid,,700.893,365.1,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Amberlyst? A-21,,9049-93-8,,C12H20O2,liquid,,,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"2,2,3,3,4,4,4-heptafluoro-N'-(heptafluorobutanoyl)butanehydrazide",,648192,NNC(=O)C(F)(F)F.C(F)(F)F.C(F)(F)F.C(F)(F)F,C8H2F14N2O2,liquid,1.703,424.0913,241.9,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
3-Pyridineboronic acid,,1692-25-7,OB(O)c1cccnc1,C5H6BNO2,liquid,1.22,122.918,308.8,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
procion blue H-5R,,12236-84-9,,C29H14ClCuN7Na4O14S4,liquid,,0.0,,,0.0,0.0,metal_catalyst,,,,,,,smiles_missing;mw_zero
N-(4-Chloro-2-Methylphenyl)-2-MethoxybenzaMide,,449155-88-8,COc1ccccc1C(=O)Nc1ccc(Cl)cc1C,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Iron(II) fluoride,,7789-28-8,[F-].[F-].[Fe+2],F2Fe,liquid,,93.842,,1000.0,0.0,0.0,metal_catalyst,,,,,,,type_mp_inconsistent
gadolinium(III) hydroxide,,100634-91-1,[Gd],GdH3O3,liquid,,208.27,,350.0,0.0,0.0,other_reagent,,,,,,,type_mp_inconsistent
Sodium sulfafe decahydrate,,7727-73-3,,H20Na2O14S,powder,,322.195,,32.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Calcium sulfate dihydrate,,10101-41-4,,CaH4O6S,liquid,2.32,172.171,330.0,,0.0,0.0,other_reagent,,,,,,,smiles_missing
Cobalt chloride hexahydrate,CoCl2,7791-13-1,[Co+2],Cl2CoH12O6,powder,1.0,237.93,,86.0,0.0,0.0,metal_catalyst,,,,,,,abbreviation_duplicate
"4,4,5,5-tetramethyl-2-[10-(tetramethyl-1,3,2-dioxaborolan-2-yl)anthracen-9-yl]-1,3,2-dioxaborolane",,863992-56-7,CC1(C)OB(c2c3ccccc3c(B3OC(C)(C)C(C)(C)O3)c3ccccc23)OC1(C)C,C26H32B2O4,liquid,,430.152,,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
5-Chlorouracil,,1820-81-1,O=c1[nH]cc(Cl)c(=O)[nH]1,C4H3ClN2O2,liquid,1.61,146.532,413.6,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
4-tert-Butylcalix[4]arene,,60705-62-6,CC(C)(C)c1cc2c(O)c(c1)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)C2,C44H56O4,liquid,1.095,648.913,683.1,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
copper(l) (hexafluoroacetylacetonato)trimethylphosphine,,135707-05-0,CP(C)C.O=C(CC(F)(F)F)C(=O)C(F)(F)F.[Cu],C8H10CuF6O2P,powder,,0.0,33.0,65.0,0.0,0.0,metal_catalyst,,,,,,,mw_zero
magnesium oxalate,,547-66-0,,C2MgO4,liquid,,112.324,365.1,,0.0,0.0,organic_compound,,,,,,,smiles_missing
dithallanyl oxalate,,30737-24-7,[Tl+].[Tl+],C2O4Tl2,liquid,6.0,496.7856,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
sodium fumarate,,17013-01-3,,C4H2Na2O4,liquid,,160.0358,355.5,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"3,5-diiodopyridine-4-carbonitrile",,827616-50-2,N#Cc1c(I)cncc1I,C6H2I2N2,liquid,2.68,355.9024,398.8,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Bis(cyclopentadienyl)tungsten dichloride,,12184-26-8,C1=CCC=C1,C10H10Cl2W,liquid,,384.93,41.5,350.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
pyrite,,12068-85-8,[Fe+2].[S-][S-],C6H7O2,liquid,4.9,111.1191,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Dibromochloromethane,,124-48-1,ClC(Br)Br,CHBr2Cl,liquid,2.504,208.28,117.1,-22.0,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"1,3-cyclopentadiene, 5-[bis(methylthio)methylene]-",,698078,,C8H10S2,liquid,,170.295,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Sodium oxide,,1313-59-3,,Na2O,liquid,,61.9789,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
"(aS,1S,2S,4aS)-1,2,3,4,4a,7-hexahydro-1-hydroxy-a,4a,8-trimethyl-7-oxo-2-naphthaleneacetic acid",,79599,,C15H20O4,liquid,,264.3169,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"Benzenemethanaminium, ar-ethenyl-N,N,N-trimethyl-, hydroxide, polymer with diethenylbenzene",,9017-79-2,,(C12H18N.C10H10.HO)x,liquid,,,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Lithium chloride hydrate,,85144-11-2,,C14H20S,liquid,,220.374,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"acetamide, N-(3-bromo-4-fluorophenyl)-",,1009752,CC(=O)Nc1ccc(Br)c(F)c1,C8H7BrFNO,liquid,,232.05,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
"Amberlyst« A26, OH-form, ion-exchange resin",,39339-85-0,,C6H4CH2N(CH3)3F,liquid,,,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
methanidylidynevanadiumylium,,12070-10-9,C.[V],CV,liquid,5.77,62.9522,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
sodium methanesulfonate,,2386-57-4,,CH3NaO3S,liquid,,118.087,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"3,6-diiodopyridine-2-carbonitrile",,827616-53-5,N#Cc1nc(I)ccc1I,C6H2I2N2,liquid,2.68,355.9024,388.8,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"Mono(N,N,N-trimethyl-1-phenylmethanaminium) tribromide",,111865-47-5,C[N+](C)(C)CC1=CC=CC=C1.Br[Br-]Br,C10H16Br3N,powder,,389.953,,99.0,0.0,0.0,organic_compound,,,,,,,smiles_invalid
lanolin,,8006-54-0,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,,powder,,0.0,,38.0,0.0,0.0,organic_compound,,,,,,,formula_missing;mw_zero
Potassium Methanesulfonate,,2386-56-3,,CH3KO3S,liquid,,134.196,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
"4,6-diamino-2-mercaptopyrimidine",,1004-39-3,Nc1cc(N)[nH]c(=S)n1,C4H6N4S,liquid,1.78,142.182,289.1,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"1,5-anhydro-3,4,6-tris-O-[tert-butyl(dimethyl)silyl]-2-deoxy-D-arabino-hex-1-enitol",,79999-47-6,CC(C)(C)[Si](C)(C)OCC1OC=CC(O[Si](C)(C)C(C)(C)C)C1O[Si](C)(C)C(C)(C)C,C24H52O4Si3,liquid,0.922,0.0,440.966,,0.0,0.0,organic_compound,,,,,,,mw_zero
[(sulfosulfanyl)plumbyl]sulfanylsulfonic acid,,13478-50-7,O=S([O-])([O-])=S.[Pb+2],O3PbS2,liquid,5.0,319.3,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
vitamin B12,,68-19-9,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[C-]#N.[Co+3],C63H89CoN14O14P,liquid,,1356.3726,,300.0,0.0,0.0,metal_catalyst,,,,,,,type_mp_inconsistent
Thiotriazinone,,58909-39-0,Cn1[nH]c(=O)c(=O)[nH]c1=S,C4H5N3O2S,liquid,1.62,159.166,272.3,245.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"3-Chloro-1,2-benzisothiazole",,7716-66-7,Clc1nsc2ccccc12,C7H4ClNS,liquid,80.0,169.631,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Manganese acetate tetrahydrate,,6156-78-1,[Mn+2],C4H14MnO8,liquid,,245.0872,,300.0,0.0,0.0,metal_catalyst,,,,,,,type_mp_inconsistent
trithiocyanuric acid,,638-16-4,S=c1[nH]c(=S)[nH]c(=S)[nH]1,C3H3N3S3,liquid,1.658,177.271,419.106,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Amberlite<<®>> IRC-748,,79620-28-3,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Potassium oxalate monohydrate,,6487-48-5,,C2H2K2O5,powder,2.127,184.2309,365.1,356.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
piperazine hydrate dihydrochloride,,6091-62-9,C1CNCCN1,C4H11ClN2,liquid,,122.597,149.3,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
ethyl 2-isocyanato-3-methylbutyrate,,5296-78-6,CCOC(=O)C(N=C=O)C(C)C,C8H13NO3,liquid,81.0,171.1937,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
dichlorophenolindophenol,,956488,,C12H7Cl2NO2,liquid,1.43,268.095,393.5,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
